id_a,id_b,text_a,text_b,rating_a,rating_b,expected
1565,4377,What do you call a family of Jewish robots? The Cybergs,Most quotes attributed to Mark Twain were actually said by someone else' - Mark Twain,1.9,3.22,B
7877,4382,her: we should break up me: why her: because you're too laid back about everything me: oh ok cool,My dentist removed the wrong tooth. It was acci-dental.,2.5,2.47,A
4410,5910,"Looking forward to another rocking New Year's Eve with Ryan Seacrest, which is what I named my full body pillow.",What do you get when you mix alcohol and literature? Tequila Mockingbird,1.75,2.63,B
4352,4035,"After marriage, most couples have a honeymoon period. Mine got hers as we got on the plane.",That magic feeling on Christmas morning after all gifts are opened and your family room looks like an episode of Hoarders.,1.79,2.39,B
4279,5506,Alright Fortnite queers. We're all back to Level 1!!!!!!!!!,Why can't you keep Jews in jail? They eat lox!,1.31,1.9,B
1507,4538,"A girl at the restaurant was about to eat her food before I stood up & yelled ""STOP. THIS IS NOT THE THIRD WORLD LADY. INSTAGRAM IT FIRST""","""Daddy, there's a monster in the kitchen!"" my daughter screamed. I can't believe she's gone this long before seeing her mum without makeup!!",1.7,2.55,B
387,3472,Lonely and awkward people are waiting to talk to you on Twitter right now,Children are amazing. My 1 year old got a hold of the TV remote for 5 seconds and in that time somehow managed to change the default menu language to Vulcan.,2.42,2.5,B
5070,7556,"ME: I'm such an idiot. ME, 3 DRINKS IN AND FEELING WISE: A broken clock is right twice a day, but a working clock set improperly is wrong all the time. Wow. Yes. Write that down. That's a tattoo.",I once thought I had a Japanese friend. But it was just my imagine Asian.,1.75,2.1,B
6289,5315,What do you call a doctor who is half man and half horse? A centaur for disease control.,What do you call a lesbian dinosaur?  A lick-a-lot-a-puss.,2.55,2.45,A
3502,6505,Imagine how crazy cow sex must be... they're wearing leather all the time.,Why was the broom late for the meeting? It overswept.,2.6,2.95,B
3818,4136,"Lady Doritos are a lot quieter, especially after you piss them off... then they really give you the silent treatment.",Someone broke into my house last night and stole my Limbo stick. How low can you get?,1.2,2.6,B
7744,7850,"Africans have the best drinking games. Like, the last one to find the water dies","After winning the game, I decided to throw the ball to the spectators. Apparently that's frowned upon in bowling.",1.6,3.15,B
7540,3855,"How my day went today 1. Woke up 2. Went to work 3. Saw hot girl 4. Kissed the girl Too bad it happened in the order 2,3,4,1.",Trying to make a list of things that are worse than Mondays and all I've got so far is Hitler and Christian Rock.,2.58,2.16,A
3326,6584,"We transitioned our toddler from his crib to a big boy bed today and I cried harder than he did, but at least I wasn't overly emotional about it.","What did the green grape say to the purple grape. Breathe idiot, breathe.",1.0,1.83,B
836,20,I'm the Michael Jordan of lazy sports analogies.,me: if ant-man shrinks by making the space between atoms smaller then how does he go subatomic guy in the stall next to me: shut the fuck up,2.0,1.55,A
1970,177," Paddy's wife was ready to give birth so he rushes her to hospital.On arrival the nurse asks ""How dilated is she?""To which paddy relies,""Oh Jaysus we""re both over the fucking moon!!",What do you do when a blonde throws a grenade at you? Pull the pin and throw it back.,2.25,3.0,B
3720,7453,Toddlers have it made. Imagine being so free from worrying about your appearance that you're not even bothered a bit that you're only wearing only one sock.,me: [drops an ice cube] the tribe of ants that live under my fridge: we have been blessed with a gift from the overworld my brothers,2.4,2.74,B
5669,6289,My ex girlfriend never made me feel wanted. Until I murdered her.,What do you call a doctor who is half man and half horse? A centaur for disease control.,1.88,2.55,B
1129,6570,"Yesterday I read an article about the dangers of drinking too much... It scared the hell out of me, so today I've decided never to read it again.",What's the difference.... Between my girlfriend and santa? Some people actually believe santa exist.,3.15,2.63,A
4660,363,"What's with the machetes...grab the freakin grenade launcher, Dean...Come On!!!",The main reason I can't get ahead in life is because the system is set up against people like me who are unmotivated and lazy,2.0,2.69,B
1252,4480,"Doctor: Relax, David. It's just a small surgery, don't panic. Me: But my name isn't David. Doctor: I know. I'm David.","A gypsy girl tells her mum she's pregnant, ""Congratulations"" says her mum... ""Do you know who the father is?""... ""Mum.... if you ate a tin of beans would you know which one made you fart?""",3.2,2.4,A
2483,6748,I believe that old ladies in wheelchairs with blankets covering their legs are actually retired mermaids.,"SuperMan, A Nice American and A fat American were having a race, who won ? the fat American, because the other 2 are fictional characters",1.85,2.0,B
5685,416,"Talking about politics on the internet is great for those times where I don't feel like playing online video games, but still want a complete stranger to insult me while I'm trying to relax at home.","Webster's defines ""cliche"" as ""starting a speech with 'Webster's defines'""",2.67,2.4,A
6771,3354,"When my wife is mad at me for something stupid I did in one of her dreams, I always ask her how she responded to in the dream to seem like I'm interested and to find out if it's something I could get away with it in real life.",What was Hitler's least favourite month? Jew-ne,1.93,1.95,B
1775,2614,Why do so many gay men have mustaches? To hide the stretch marks.,"Vodka 19.99. Motel room 64.99. Condoms 9.99. Finding out she swallows and likes it in the ass? Priceless! Fuck Mastercard, it pays to Discover",2.0,2.4,B
5692,7080,I tell everyone I'm a minimalist because it sounds cooler than telling them I'm poor.,"There are 37 genders. Male, female and 35 kinds of faggot.",3.1,1.89,A
4226,3228,"Dog (curled up, napping): I never poop on the carpet and I love cats. Wife: Is the dog talking in its sleep? ""Shhh let sleeping dogs lie.""","I asked a Chinese girl for her number. She said, ""Sex! Sex! Sex! Free Sex tonight!"" I said, ""Wow!"" Her friend said, ""She means 666-3629.""",3.21,2.3,A
2953,7157,The lottery gives you a 1 in 200 million chance you won't go to work tomorrow. Alcohol gives you 1 in 5...,We got a fridge with an ice maker because it's nice to have ice on demand and hear suspicious noises in your house at 3 in the morning,2.24,2.37,B
3855,4109,Trying to make a list of things that are worse than Mondays and all I've got so far is Hitler and Christian Rock.,What happened when the Jew with a boner walked into a wall? He broke his nose.,2.16,2.0,A
2974,7711,Fun fact: Nudity is typically blurred out on TV because no one can get their genitals to sign a release form.,"Saw a homeless guy in a doorway and I asked, ""Would you like an air mattress to sleep on buddy?"" He replied, ""Oh yeah, thanks man!"" I chuckled, ""Here, you can have this old air guitar too.""",2.35,2.33,A
1459,3926,What do you call a bunch of crows inside a tent? Murder within tent.,What do you call a Muslim standing between two buildings? Ali,2.95,1.3,A
6930,5664,Me trying to decide if I want to buy a rockstar energy drink or a monster energy drink: 'Do I want to feel energized enough to melt faces or eat them?',My husband brought home one happy meal for two kids. Frankly things would have been less dramatic if he'd brought home a girlfriend.,2.0,2.63,B
4967,4235,"My girlfriend tried to make me have sex on the hood of her Honda Civic. I refused. If I'm going to have sex, its going to be on my own Accord","Whenever I want a little peace and quiet, I just fill a studio with 200 people and go out and do a monologue.",3.0,2.0,A
6898,5400,How did the pharaoh get so rich? He was running a huge pyramid scheme.,"My Tinder bio says that I have a corner office with views of the entire city, drive a $500,000 vehicle, and that I'm paid to travel. My dates are always upset when I tell them I'm a bus driver.",3.1,3.42,B
5837,1691,Why do bulimics love KFC? It comes with a bucket.,I can't believe I forgot to go to the gym today. That's 7 years in a row now.,2.2,3.4,B
4695,7277,A man was hospitalized with 6 plastic horses up his butt. Doctors have described his condition as stable.,"When I went to Japan on vacation, I didn't see a single ninja. Impressive.",2.75,2.4,A
7817,7357,"A man calls 911 nervously: ""My friend and I were walking through the woods when he just collapsed. I think he died."" ""Ok, calm down. First, make sure he's dead."" The operator replies. There's a silence on the phone. Then, there's a gunshot. The man then says, ""OK, now what?""",My wife says I'm the cheapest man in the world. I'm not buying it.,2.8,3.1,B
5990,7275,I just spent 3 hours trying to solve this Rubik's Cube before my son told me it's an apple. I may need a nap.,"My gay friend told me he's spending this 4/20 with his boyfriend. He said, ""After all, the Bible says 'Two men who lie together shall be stoned'.""",2.15,2.55,B
4061,4235,[Deathbed Confession] I wish I'd listened to my girlfriend more often. Especially as I crossed the road after she yelled BUS.,"Whenever I want a little peace and quiet, I just fill a studio with 200 people and go out and do a monologue.",2.4,2.0,A
2160,1880,Confession: I was once at the gym and I saw a guy running full speed on the treadmill while reading a book. I couldn't believe what I was seeing and I took a video. The lady from the front desk confronted me and I lied and said it was a selfie.,Tell me more about these male enhancement pills... Will they help me chop wood better? How about pelts? Will I know how to make pelts?,1.5,2.21,B
4202,324,"A man who has no right arm and no right leg falls off his wheelchair Thankfully, a woman passing by noticed him and approached him, offering some help. ""Are you alright?"" ""No, I'm not. I'm all left.""",I got my wife something special for our Anniversary. She looked after my Downs Syndrome cousin while I went to the pub with my mates.,2.15,1.89,A
4758,1128,"""You are terrible at metaphors."" ""Wow. Jealousy is a bad moustache on you.""",What's the hardest part about roller blading? Telling your parents that you're gay.,1.26,1.75,B
6271,659,"I went to the bar last night and saw a really fat woman dancing on a table. I said, ""Good legs."" The girl giggled and said, ""Do you really think so?"" I said, ""Definitely! Most tables would have collapsed by now.""","ME: Herman Melville wasn't appreciated until he died. WRITER: Thanks, that means a lot. ME: [in my head] I need to make my threats clearer",3.05,2.16,A
2480,5427,"I'm not angry enough at you to type in all caps, but you did make me upset me so I'll use two exclamation points at the end of my sentence!!",What did the lesbian vampire say to the other lesbian vampire? Same time next month?,1.75,2.32,B
973,3945,gays love teasing their halloween costumes like they're about to drop an album,"How are a grenade and a girlfriend similar? If they're good ones, they'll both blow really well.",1.8,2.1,B
4245,7177,If there was a gym in my house. I would definitely pay $80 a month to not go to it.,What's the difference between an illegal Mexican and an autonomous robot...? Nothing... they were both made to steal American jobs.,2.8,1.75,A
796,4797,DAD: [on deathbed] I... I see the light... Who left that on?,"After all these years, my wife still thinks I'm sexy. Every time I walk by she says: 'What an ass!'",2.25,2.53,B
5692,7775,I tell everyone I'm a minimalist because it sounds cooler than telling them I'm poor.,I hate people who are superficial... especially the ones who are weird looking.,3.1,1.4,A
3247,6721,"If you want to hide a surprise birthday gift for your husband in a spot where he will never see it, put it inside the refrigerator beside the ketchup he can never find.",How do Jewish mothers prevent wrinkles? Oil of Oy Vey.,1.95,1.65,A
6930,5517,Me trying to decide if I want to buy a rockstar energy drink or a monster energy drink: 'Do I want to feel energized enough to melt faces or eat them?',[making out] ME: *grabs a blindfold from the nightstand* GIRLFRIEND: omg really? ME: *blindfolding the dog at the end of the bed* really.,2.0,2.9,B
1075,1738,What do you call a blue-eyed blonde that doesn't eat meat? A vegetaryan,"When a woman says... ""we need to talk"" Why is it never about football?",1.65,2.1,B
5517,7468,[making out] ME: *grabs a blindfold from the nightstand* GIRLFRIEND: omg really? ME: *blindfolding the dog at the end of the bed* really.,"By legalizing Cannabis and; same-sex marriage we interpreted the bible correctly. ""A man who lays with another man should be stoned.""",2.9,2.67,A
3783,5244,What is a Muslims favorite type of vinegar? BalIslamic,"Most people would prefer to have the time off between Christmas and New Year, but I have a better idea. I'd like to have the time off between New Year and Christmas.",1.42,2.67,B
3840,3818,A deaf person with one arm technically has a speech impediment,"Lady Doritos are a lot quieter, especially after you piss them off... then they really give you the silent treatment.",2.17,1.2,A
649,5207,WIFE: please come out of there so we can talk ME: [from cardboard box] i'm sorry come out of where? WIFE: [sigh] please exit the spacecraft,What do you call a book club that's been stuck on one book for years? Church,2.4,3.05,B
7428,7303,What you called a fat Chinese man? Chunk,What has 4 wheels and flies? A garbage truck.,1.8,2.1,B
3490,4225,"The police called to tell me that my wife was in the hospital. ""How is she?"" I asked ""Very critical,"" replied the officer ""The fuck is she complaining about now?""",I thought landlady was the opposite of mermaid?,2.85,2.35,A
1838,7428,My wife thinks I don't give her enough privacy. At least that's what she said in her diary.,What you called a fat Chinese man? Chunk,3.4,1.8,A
5251,2907,Proud that I helped blind kids today. A total of 11 children lost their sight today!,"What does your mom and my fantasy football team have in common? As soon as I put money on them, they suck.",2.41,2.9,B
7566,3911,I can't believe I had my wife in tears this morning for something so small and trivial. All I did was rub an onion in her eyes.,"Prison may be just one word. But to others, it's a whole sentence",2.3,2.83,B
1298,366,"I'm going to start a podcast, mainly because I think it would be great to have more people besides wife and kids who don't listen to me.",I like jokes about the eyes. The cornea the better.,3.05,2.65,A
2541,6445,What did the potato say to his lover? You have amazing eyes.,What do you call an Arab man who drives a bus? A bus driver.,2.0,1.24,A
4798,1538,"My girlfriend is half my size but takes up three quarters of the bed. If my math is correct, she's a bitch","I hate when people say ""women should stay in the kitchen"" ...how are they supposed to clean the rest of the house?",2.3,2.6,B
4436,6671,What do you call a bear in the rain? A drizzly bear. corny,"pros of android -sometimes you have a stylus -that's it -rent is coming up and you just ate a hot pocket with an ice cream scoop -do your dishes -you have to work in 3 hours pros of iphone -you have 1,000 fewer dollars -animated emojis are fun -how is the battery dead again",2.2,1.65,A
6383,3723,I can't sleep so I better keep everyone awake. - babies,"Today I came out to my parents, and my dad instantly wanted to disown me. Luckily, my other dad talked him out of it",2.89,3.1,B
3099,4109,[first day as a waiter] Customer: Can I get a water with no ice? Me: is that a preference or because of an allergy? Customer: ....?,What happened when the Jew with a boner walked into a wall? He broke his nose.,2.11,2.0,A
2149,4462,Why are Mormons more like Muslims than they are like Christians? Christians are not-for-prophet organizations.,I do believe that “pithy” is the faggiest word possible in existence.,1.89,0.8,A
6105,4885,My wife asked if she could have some peace and quiet while she tried to cook dinner. So I took the batteries out of the smoke alarm.,"My wife tried to unlatch our daughter's car seat with one hand and said, ""How do one armed mothers do it?"" I replied, ""Single handedly.""",2.6,2.8,B
3723,6289,"Today I came out to my parents, and my dad instantly wanted to disown me. Luckily, my other dad talked him out of it",What do you call a doctor who is half man and half horse? A centaur for disease control.,3.1,2.55,A
548,4919,"What do you say when your lesbian daughter brings home her girlfriend? ""Are you going to be staying for dinner or eating out?""","I was seeing this girl for about six weeks, until someone took my binoculars.",2.15,2.75,B
5200,3963,What's the difference between a pizza and a black man? The pizza can feed a family of 4.,"In 2011, Queen Elizabeth II agreed to act in a James Bond skit with Daniel Craig for the Olympics, breaking royal protocol. When asked if she wanted a speaking part, she replied, ""Of course I must say something. After all, he is coming to rescue me.""",1.9,2.0,B
5224,4797,"The difference between polygamy and monogamy. Polygamy is having too many wives, but monogamy is having one wife too many.","After all these years, my wife still thinks I'm sexy. Every time I walk by she says: 'What an ass!'",2.0,2.53,B
2071,212,A guy asks his girlfriend make him feel awesome and sad at the same time Girlfriend: Out of all your friends you have the biggest penis,"What do you call a tall, obese computer nerd with a bladder control problem. A Big Fat Geek Wetting.",3.15,1.75,A
4,7310,Told my mom I hit 1200 Twitter followers. She pointed out how my brother owns a house and I'm wanted by several collection agencies. Oh ma!,"Why do they call them 'jews'? ""'jew gonna do anything with that, 'cause I can take it off your hands?""",2.11,1.2,A
1838,5699,My wife thinks I don't give her enough privacy. At least that's what she said in her diary.,What do you call a caring prostitute? Someone who gives a fuck,3.4,2.3,A
29,6661,My father doesn't trust anyone. In fact he has a saying... But he won't tell me.,"To give you an idea of just how unattractive I was as a child, when I stayed at Michael Jackson's Neverland, I had my own room.",2.95,2.55,A
3502,7277,Imagine how crazy cow sex must be... they're wearing leather all the time.,"When I went to Japan on vacation, I didn't see a single ninja. Impressive.",2.6,2.4,A
6552,3013,What do you call a vehicle with no fuel in Africa? Outtagascar corny,"The benefits of having kids include their cuteness, adorable cuddles, and using them being sick as an excuse to get out of absolutely anything you want.",1.75,2.3,B
4533,2478,What do you call Watson when Sherlock isn't around? Holmeless,How did the butcher introduce his wife? Meet Patty!,3.0,3.05,B
5460,7247,"Security officer: If you find a USB outside, don't bring it into the office Me (taking notes): Note to self: Only bring international bees into the office","[on a sailboat on a beautiful day] Sailor: Why so disappointed? Me: No reason. Sailor: What is it? Me: I just thought you guys would swear more. Sailor: Geez Louise, that's too bad.",2.45,1.95,A
6445,1339,What do you call an Arab man who drives a bus? A bus driver.,Yo mama so fat.. I took a picture of her last Christmas and it's still printing.,1.24,2.2,B
2840,1556,"That's it, I'm done with the gym. I look exactly the same as I did when I started working out. Biggest waste of 5 mins ever.","Me: Choose a mate who loves & respects their mom, but isn't overly dependent on her. Lady: These are 4th graders- Me: THEY NEED TO KNOW THIS",2.67,2.24,A
5611,5965,Why is the camel called the ship of the desert? Because its full of Arab semen,I gave my wife's phone number to all my friends so they can text her to ask if I'm allowed to go out and play.,1.84,2.5,B
3728,1431,A white couple doesn't just simply 'have a baby' without posting a pic of them showing her growing gut every day for 9 months.,A Mexican once tried to steal my golf clubs.. so I had to shoot a hole-in-juan.,2.06,2.25,B
1991,1911,"If you don't practice what you preach, that doesn't make you a hypocrite, as long as what you preach is hypocrisy.","Asian friends, what’s the best brand of frozen pot stickers! If you find this racially reductive I have no problem recommending good frozen samosas!",2.06,1.73,A
5129,1675,"Got an e-mail today from a, ""bored housewife 33, looking for some action!"" I've sent her my ironing, that'll keep her busy.",Fortune Nookie. Classic,2.65,0.67,A
1431,1075,A Mexican once tried to steal my golf clubs.. so I had to shoot a hole-in-juan.,What do you call a blue-eyed blonde that doesn't eat meat? A vegetaryan,2.25,1.65,A
525,7966,"Good thing girls started uploading pictures next to a pool with the caption ""Summer is finally here!"" or we wouldn't have  known it's summer.",What starts with a 't' ends with a 't' and is full of 't' ? A teapot.,2.53,2.5,A
3430,5074,Everything at the bottom of the ocean looks like something Jim Henson would make if he was filled with hate instead of love.,I fell into a septic tank yesterday. I had a shitty day.,1.5,2.74,B
406,1507,"Damn girl, are your clothes Comcast customers? Because I can see them getting ripped off tonight.","A girl at the restaurant was about to eat her food before I stood up & yelled ""STOP. THIS IS NOT THE THIRD WORLD LADY. INSTAGRAM IT FIRST""",1.95,1.7,A
7513,4496,I proposed to my Mexican girlfriend but she said... I wasn't the Juan.,Nothing sends a chill more than an Apple Watch face auto-switching to Mickey Mouse.,2.15,1.47,A
5315,2648,What do you call a lesbian dinosaur?  A lick-a-lot-a-puss.,"A fat woman just served me at McDonalds... ... and said ""Sorry about the wait"". I replied and said ""Don't worry, you'll lose it eventually"".",2.45,2.3,A
2434,7646,I only sleep with antivaxers 3 years of child support is way better than 18,What did Tennessee. The same thing Arkansas.,2.32,2.24,A
