chosen,rejected,source
"A group of girlfriends is on vacation when they see a 5-story hotel with a sign that reads: """"For Women Only."""" Since they are without their boyfriends and husbands, they decide to go in. The bouncer, a very attractive guy, explains to them how it works. """"We have 5 floors. Go up floor by floor, and once you find what you are looking for, you can stay there. It's easy to decide since each floor has a sign telling you what's inside."""" So they start going up and on the first floor the sign reads: """"All the men on this floor are short and plain."""" The friends laugh and without hesitation move on to the next floor. The sign on the second floor reads: """"All the men here are short and handsome."""" Still, this isn't good enough, so the friends continue on up. They reach the third floor and the sign reads: """"All the men here are tall and plain."""" They still want to do better, and so, knowing there are still two floors left, they continued on up. On the fourth floor, the sign is perfect: """"All the men here are tall and handsome."""" The women get all excited and are going in when they realize that there is still one floor left. Wondering what they are missing, they head on up to the fifth floor. There they find a sign that reads: """"There are no men here. This floor was built only to prove that there is no way to please a woman.",What's the difference between a MacIntosh and an Etch-A-Sketch?   You don't have to shake the Mac to clear the screen.,jester
"Judy was having trouble with her computer, so she called Tony, the computer guy, over to her desk. Tony clicked a couple buttons and solved the problem. As he was walking away, Judy called after him, """"So, what was wrong?"""" And he replied, """"It was an ID Ten T Error."""" A puzzled expression ran riot over Judy's face. """"An ID Ten T Error? What's that...in case I need to fix it again?"""" He gave her a grin...""""Haven't you ever heard of an ID Ten T Error before?"""" """"No,"""" replied Judy. """"Write it down,"""" he said, """"and I think you'll figure it out.""""(She wrote...) I D 1 0 T",How many feminists does it take to screw in a light bulb? That's not funny.,jester
"President Clinton looks up from his desk in the Oval Office to see  one of his aides nervously approach him.   """"What is it?"""" exclaims the President.  """"It's this Abortion Bill Mr. President, what do you want to do  about it?"""" the aide replies.  """"Just go ahead and pay it."""" responds the President.","A horse walks into a bar. Bartender says: """"So, why the long face?",jester
Q: What is the Australian word for a boomerang that won't    come back?   A: A stick,"How many teddybears does it take to change a lightbulb?  It takes only one teddybear, but it takes a whole lot of lightbulbs.",jester
What is the difference between men and women:   A woman wants one man to satisfy her every need. A man wants every woman to satisfy his one need.,Q. What is orange and sounds like a parrot?    A. A carrot.,jester
Welcome to your forties. Your extreme sport is now standing up too fast.,My body is a temple in that people lower their heads and cross themselves when they see it.,haha
Why do gay people smile so much? It's hard for them to keep a straight face.,"I'm told that if you eat pineapple or carrots in excess, your cum will taste like that food... Is this why my Japanese girlfriend's pussy tastes like raw fish?",haha
My friend gets really upset when I call him a flat-Earther. He says the correct term is bulldozer operator.,"I got chatting to a black chick in the pub last night and she asked if I fancied taking her home. ""Fuck off"" I told her "" I'm not driving to Africa at this time of night"".",haha
"A mechanical, electrical and a software engineer from Microsoft were driving through the desert when the car broke down. The mechanical engineer said """"It seems to be a problem with the fuel injection system, why don't we pop the hood and I'll take a look at it."""" To which the electrical engineer replied, """"No I think it's just a loose ground wire, I'll get out and take a look."""" Then, the Microsoft engineer jumps in. """"No, no, no. If we just close up all the windows, get out, wait a few minutes, get back in, and then reopen the windows everything will work fine.","A dog walks into Western Union and asks the clerk to send a telegram. He fills out a form on which he writes down the telegram he wishes to send: """"Bow wow wow, Bow wow wow.""""  The clerk says, """"You can add another 'Bow wow' for the same price.""""  The dog responded, """"Now wouldn't that sound a little silly?",jester
"How many Irishmen does it take to change a lightbulb?  Two, one to hold the lightbulb and the other to drink until the room spins.","They asked the Japanese visitor if they have elections in his country.   """"Every Morning"""" he answers.",jester
"WHAT DO WE WANT? ""Hearing aids."" ""WHEN DO WE WANT THEM?"" ""Hearing aids.""",Did you year about the chinese male prostitute? He'll give you a Bro-Job.,haha
"An astronomer, a physicist and a mathematician (it is said) were holidaying in Scotland. Glancing from a train window, they observed a black sheep in the middle of a field.""""How interesting,"""" observed the astronomer, """"All Scottish sheep are black!"""" To which the physicist responded, """"No, no! Some Scottish sheep are black!"""" The mathematician gazed heavenward in supplication, and then intoned, """"In Scotland there exists at least one field, containing at least one sheep, at least one side of which is black.","What does an atheist say during an orgasm? """"Oh Darwin! Oh Darwin!...",jester
"During a recent publicity outing, Hillary sneaked off to visit a fortune teller of some local repute.  In a dark and hazy room, peering into a crystal ball, the mystic delivered grave news. """"There's no easy way to say this, so I'll just be blunt: Prepare yourself to be a widow.  Your husband will die a violent and horrible death this year."""" Visibly shaken, Hillary stared at the woman's lined face, then at  the single flickering candle, then down at her hands.  She took a few  deep breaths to compose herself.  She simply had to know.  She met the fortune teller's gaze, steadied her voice, and asked her question. """"Will I be acquitted?",Did you hear that Clinton has announced there is a new national bird?   The spread eagle.,jester
"A man piloting a hot air balloon discovers he has wandered off course and is hopelessly lost. He descends to a lower altitude and locates a man down on the ground. He lowers the balloon further and shouts """"Excuse me, can you tell me where I am?""""  The man below says: """"Yes, you're in a hot air balloon, about 30 feet above this field.""""  """"You must work in Information Technology,"""" says the balloonist.  """"Yes I do,"""" replies the man. """"And how did you know that?""""  """"Well,"""" says the balloonist, """"what you told me is technically correct, but of no use to anyone.""""  The man below says, """"You must work in management.""""  """"I do,"""" replies the balloonist, """"how did you know?""""  """"Well,"""" says the man, """"you don't know where you are, or where you're going, but you expect my immediate help. You're in the same position you were before we met, but now it's my fault!","Once upon a time, two brooms fell in love and decided to get married. Before the ceremony, the bride broom informed the groom broom that  she was expecting a little whiskbroom. The groom broom was aghast!  """"How is this possible?"""" he asked. """"We've never swept together!",jester
"A guy walks into a bar, orders a beer and says to the bartender, """"Hey, I got this great Polish Joke...""""   The barkeep glares at him and says in a warning tone of voice: """"Before you go telling that joke you better know that I'm Polish, both bouncers are Polish and so are most of my customers""""  """"Okay"""" says the customer,""""I'll tell it very slowly.",Did you hear that Clinton has announced there is a new national bird?   The spread eagle.,jester
I once won a fight that was five against one. We really kicked the shit out of that guy.,honestly it just makes me fat free italian when u tell me salad dressings aren't a good way to describe emotions,haha
I had a hen who could count her own eggs. She's a mathmachicken.,What did Barack say to Michele when he asked her to marry him? I don't wanna be Obama self.,haha
"Two Rednecks were seated at the end of a bar when a young lady seated a few stools up began to choke on a piece of hamburger.  She was turning blue and obviously in serious respiratory distress. One said to the other, """"That gal there is having a bad time!""""  The other agreed and said """"Think we should go help?""""  """"You bet,"""" said the first,and with that, he ran over and said, """"Can you breathe??""""  She shook her head no.  He said, """"Can you speak??""""  She again shook her head no. With that, he pulled up her skirt and licked her on the butt. She was so shocked, she coughed up the obstruction and began to breathe-with great relief. The redneck walked back to his friend and said, """"Funny how that hind lick maneuver always works.",Q:  What did the blind person say when given some matzah?  A:  Who the hell wrote this?,jester
"Somebody actually complimented me on my driving today. They left a note on the windshield. It said, ""Parking fine"", so that was nice.",My ex works in a pharmacy so whenever I want to piss her off I go there and buy condoms for no reason. Sometimes I go there 3 times a day.,haha
How many men does it take to screw in a light bulb?   One...men will screw anything.,Q. What is orange and sounds like a parrot?    A. A carrot.,jester
I have a drug problem. The DEA keep taking them away!,"professor: osmium is the densest material on earth, 22 grams in 1 cubic centimeter me: so you're saying- professor: [nodding] thicc as fuck",haha
"A new business was opening and one of the owner's friends wanted to send him flowers for the occasion. They arrived at the new business site and the owner read the card, """"Rest in Peace."""" The owner was angry and called the florist to complain. After he had told the florist of the obvious mistake and how angry he was, the florist replied, """"Sir, I'm really sorry for the mistake, but rather than getting angry, you should imagine this: somewhere there is a funeral taking place today, and they have flowers with a note saying, 'Congratulations on your new location!'","What does an atheist say during an orgasm? """"Oh Darwin! Oh Darwin!...",jester
"The Pope dies and, naturally, goes to heaven. He's met by the reception committee, and after a whirlwind tour he is told that he can enjoy any of the myriad of recreations available. He decides that he wants to read all of the ancient original text of the Holy Scriptures, so he spends the next eon or so learning languages. After becoming a linguistic master, he sits down in the library and begins to pour over every version of the Bible, working back from most recent """"Easy Reading"""" to the original script. All of a sudden there is a scream in the library. The Angels come running in only to find the Pope huddled in his chair, crying to himself and muttering, """"An 'R'! The scribes left out the 'R'.""""  A particularly concerned Angel takes him aside, offering comfort, asks him what the problem is and what does he mean.  After collecting his wits, the Pope sobs again, """"It's the letter 'R'. They left out the 'R'. The word was supposed to be CELEBRATE!","Once upon a time, two brooms fell in love and decided to get married. Before the ceremony, the bride broom informed the groom broom that  she was expecting a little whiskbroom. The groom broom was aghast!  """"How is this possible?"""" he asked. """"We've never swept together!",jester
"WASHINGTON (Reuters) - A tragic fire on Monday destroyed the personal library of President George W. Bush. Both of his books have been lost. Presidential spokesman Ari Fleischer said the president was devastated, as he had not finished coloring the second one.",Q: Do you know the difference between an intelligent male and the Sasquatch?  A: There have been actual reported sightings of the Sasquatch.,jester
My girlfriend just walked in and called me gay... If my nails weren't drying I swear to god...,What do you call a gay avatar? A bender.,haha
What do you call it when Batman skips church? Christian Bale,I told my therapist about my constant need to be liked and he said we can discuss it on the jet ski I bought him.,haha
"A lawyer was caught jerking off in a grocery store. The arresting officer asked the lawyer ""Why did you do it? Aren't you afraid of going to jail?"" The lawyer responded, ""I knew I'd get myself off""",*Being dragged from the halls of power again* GRAVES SHOULD BE VERTICAL IT WOULD SAVE SO MUCH SPACE JUST LET ME SHOW YOU,haha
I told my wife she should embrace her mistakes... She gave me a hug.,ME: these gummy bears are delicious WIFE: those are daily vitamins ME: *holding the couch over my head with one arm* I can't find the remote,haha
"A guy walked past a mental hospital and heard a moaning voice: """"13...13...13...13..."""" The man looked over to the hospital and saw a hole in the wall. He looked through the hole and got poked in the eye. The moaning voice then groaned: """"14...14...14...14...",Did you hear that Clinton has announced there is a new national bird?   The spread eagle.,jester
"Reaching the end of a job interview, the human resources person asked a young engineer fresh out of Stanford,  """"And what starting salary were you looking for?""""  The engineer said, """"In the neighborhood of $125,000 a year, depending on the benefits package.""""  The interviewer said, """"Well, what would you say to a package of 5-weeks  vacation, 14 paid holidays, full medical and dental, company matching  retirement fund to 50% of salary, and a company car leased every 2 years -  say, a red Corvette?""""  The Engineer sat up straight and said, """"Wow! Are you kidding?""""  And the interviewer replied, """"Yeah, but you started it.",Chuck Norris' calendar goes straight from March 31st to April 2nd; no one fools Chuck Norris.,jester
"Age and Womanhood  1. Between the ages of 13 and 18 ...     She is like Africa, virgin and unexplored.  2. Between the ages of 19 and 35 ...     She is like Asia, hot and exotic.  3. Between the ages of 36 and 45 ...     She is like America, fully explored, breathtakingly beautiful,and free with her resources.  4. Between the ages of 46 and 56 ...     She is like Europe, exhausted but still has points of interest.  5. After 56 she is like Australia ...     Everybody knows it's down there, but who gives a damn?",Did you hear that Clinton has announced there is a new national bird?   The spread eagle.,jester
"The graduate with a Science degree asks, """"Why does it work?"""" The graduate with an Engineering degree asks, """"How does it work?"""" The graduate with an Accounting degree Asks, """"How much will it cost?""""  The graduate with a  Liberal Arts degree asks, """"Do you want fries  with  that?",Q: How many Presidents does it take to screw in a light bulb?  A: It depends upon your definition of screwing a light bulb.,jester
My wife asked me to give her some peace and quiet last night whilst she made dinner. So I took the batteries out of the smoke alarm.,I got stung by an applebee and now I'm going into bananaphylactic shock.,haha
"At a recent Sacramento PC Users Group meeting, a company was demonstrating its latest speech- recognition software.   A representative from the company was just about ready to start the demonstration and asked everyone in the room to quiet down.  Just then someone in the back of the room yelled, """"Format C: Return.""""  Someone else chimed in: """"Yes, Return""""  Unfortunately, the software worked.","Q.	What's O. J. Simpson's Internet address?  A.	Slash, slash, backslash, slash, slash, escape.",jester
A baby's laughter can be the most beautiful sound you will ever hear. Unless it's 3 am. And you're home alone. And you don't have a baby.,Welcome to your forties. Your eyebrows are now bushy enough you can see them without using a mirror.,haha
"A man is driving in the country one evening when his car stalls and won't start. He goes up to a nearby farm house for help, and because it is suppertime he is asked to stay for supper. When he sits down at the table he notices that a pig is sitting at the table with them for supper and that the pig has a wooden leg. As they are eating and chatting, he eventually asks the farmer why the pig is there and why it has a wooden leg. """"Oh,"""" says the farmer, """"that is a very special pig. Last month my wife and daughter were in the barn when it caught fire. The pig saw this, ran to the barn, tipped over a pail of water, crawled over the wet floor to reach them and pulled them out of the barn safely. A special pig like that, you just don't eat it all at once!","What do you call an American in the finals of the world cup?  """"Hey Beer Man!",jester
"Santa knows if I've been bad or good, so he and my browser history have a lot in common.",What Should You Do After Ireland Wins The World Cup Turn off Fifa and go to bed,haha
You only have enough time to say one word to Edgar Allan Poe who is about to walk into a tree. What do you say? Poetry,"If you run in front of a car you'll get tired, but if you run behind the car you'll get exhausted",haha
"I've been writing a joke about the whites, blacks and asians... But it's a bit racey.",What do you call a redhead with a yeast infection? Gingerbread,haha
"A man went to apply for a job. After filling out all of his applications, he waited anxiously for the outcome.The employer read all his applications and said, """"We have an opening for people like you."""" """"Oh, great,"""" he said. """"What is it?"""" """"It's called the door!",Q. What is orange and sounds like a parrot?    A. A carrot.,jester
"Possible Cure found for Dyslexia; A spokesman said... ""There's light at the end of the toenail""",Did you year about the chinese male prostitute? He'll give you a Bro-Job.,haha
"A guy walked past a mental hospital and heard a moaning voice: """"13...13...13...13..."""" The man looked over to the hospital and saw a hole in the wall. He looked through the hole and got poked in the eye. The moaning voice then groaned: """"14...14...14...14...",Q. What is orange and sounds like a parrot?    A. A carrot.,jester
"A Briton, a Frenchman and a Russian are viewing a painting of Adam and Eve frolicking in the Garden of Eden. """"Look at their reserve, their calm,"""" muses the Brit. """"They must be British."""" """"Nonsense,"""" the Frenchman disagrees. """"They're naked, and so beautiful. Clearly, they are French."""" """"No way! They have no clothes and no shelter,"""" the Russian points out, """"They have only an apple to eat, and they are being told they live in a paradise. Obviously, they are Russian.",What's the difference between a MacIntosh and an Etch-A-Sketch?   You don't have to shake the Mac to clear the screen.,jester
"A man approached a very beautiful woman in a large supermarket and asked, """"You know, I've lost my wife here in the supermarket. Can you talk to me for a couple of minutes?"""" """"Why?"""" """"Because every time I talk to a beautiful woman my wife appears out of nowhere.","Q: How do you keep a computer programmer in the  shower all day long?  A: Give them a shampoo with a label that says """"rinse, lather, repeat"""".",jester
I just completed 100 push-ups. (I started last November.),"I saw a black guy riding a bike... At first I thought it was mine, then I realized mine is at home, washing the dishes.",haha
"Never let anyone tell you what you can and can't do. Take Beethoven for example, they told him he could not be a musician because he was deaf ... but he didn't listen.","I'd rather be a samurai than a ninja. You can be a badass samurai well into your 50s, but your career as a ninja is over the minute you hit your mid 30s and your bones start cracking when you walk",haha
"A little boy goes to his dad and asks, """"What is politics?""""His dad says, """"Well son, let me try to explain it this way: I'm the breadwinner of the family, so let's call me capitalism. Your Mom, she's the administrator of the money, so we'll call her the government. We're here to take care of your needs, so we'll call you the people. The nanny, we'll consider her the working class. And your baby brother, we'll call him the future. Now, think about that and see if that makes sense."""" So the little boy goes off to bed thinking about what dad had said. Later that night, he hears his baby brother crying, so he gets up to check on him. He finds that the baby has severely soiled his diaper. So the little boy goes to his parents' room and finds his mother sound asleep. Not wanting to wake her, he goes to the nanny's room. Finding the door locked, he peeks in the keyhole and sees his father in bed with the nanny. He gives up and goes back to bed. The next morning, the little boy says to his father, """"Dad, I think I understand the concept of politics now."""" The father says, """"Good, son. Tell me in your own words what you think politics is all about."""" The little boy replies, """"Well, while capitalism is screwing the working class, the government is sound asleep, the people are being ignored and the future is in deep shit.","A guy had been feeling down for so long that he finally decided to seek the aid of a psychiatrist. He went there, lay on the couch, spilled his guts then waited for the profound wisdom of the psychiatrist to make him feel better.The psychiatrist asked me a few questions, took some notes then sat thinking in silence for a few minutes with a puzzled look on his face. He looked up with an expression of delight and said, """"I think your problem is low self-esteem. It is very common among losers.",jester
"A lawyer opened the door of his BMW, when suddenly a car came along and hit the door, ripping it off completely.  When the police arrived at the scene, the lawyer was complaining bitterly about the damage to his precious BMW.   """"Officer, look what they've done to my Beeeeemer!!!"""", he whined.   """"You lawyers are so materialistic, you make me sick!!!""""  retorted the officer.  """"You're so worried about your stupid BMW, that you didn't even notice that your left arm was ripped off!!!""""   """"Oh my gaaaad..."""", replied the lawyer, finally noticing the bloody left shoulder where his arm once was.  """"Where's my Rolex???!!!!",Did you hear about the Buddhist who refused Novocaine during a root canal? He wanted to transcend dental medication.,jester
It's weird how I can come up with the wittiest things to say when I'm in the shower... too bad none of the other guys showering at the gym appreciate my humor,"A Down Syndrome walks into a bar. Barman says ""Why the mong face?""",haha
I think my friend is having an affair with my wife. He seems miserable lately.,What is the most popular type of tree in California? Ash.,haha
"This guys wife asks, """"Honey if I died would you remarry?"""" and he replies, """"Well, after a considerable period of grieving, we all need companionship, I guess I would.""""  She then asks, """"If I died and you remarried, would she live in this house?"""" and he replies, """"We've spent a lot of time and money getting this house just the way we want it. I'm not going to get rid of my house, I guess she would.""""  """"If I died and you remarried, and she lived in this house, would she sleep in our bed?"""" and he says, """"That bed is brand new, we just paid two thousand dollars for it, it's going to last a long time, I guess she would.""""  So she asks, """"If I died and you remarried, and she lived in this house, and slept in our bed, would she use my golf clubs?""""  """"Oh no, she's left handed.","A woman has twins, and gives them up for adoption.  One of them goes to a family in Egypt and is named """"Amal.""""  The other goes to a  family in Spain; they name him """"Juan.""""  Years later, Juan sends a picture of himself to his mom.  Upon receiving the picture, she tells her husband that she wishes she also had a picture of Amal.   Her husband responds, """"But they are twins-if you've seen Juan, you've seen   Amal.",jester
"Two men are discussing the age old question: who enjoys sex more, the man or the woman?  A woman walks by and listens in for awhile and then interrupts:  """"Listen you guys. You know when your ear itches and you put in your  little finger and wiggle it around for awhile?  Afterward, which feels better, your finger or your ear?",What do you get when you run over a parakeet with a lawnmower?  Shredded tweet.,jester
"What's the difference between a used tire and 365 used condoms?  One's a Goodyear, the other's a great year.","What does an atheist say during an orgasm? """"Oh Darwin! Oh Darwin!...",jester
"Early one morning a mother went to her sleeping son and woke him up.  """"Wake up, son.  It's time to go to school.""""  """"But why, Mama?  I don't want to go to school.""""  """"Give me two reasons why you don't want to go to school.""""  """"One, all the children hate me. Two, all the teachers hate me,""""  """"Oh! that's no reason. Come on, you have to go to school,""""   """"Give me two good reasons WHY I should go to school?""""    """"One, you are fifty-two years old. Two, you are the principal of the  school.",What's the difference between a MacIntosh and an Etch-A-Sketch?   You don't have to shake the Mac to clear the screen.,jester
"A drunk staggers into a Catholic Church, enters a confessional booth, sits down, but says nothing. The Priest coughs a few times to get his attention but the drunk just sits there. Finally, the Priest pounds three times on the wall. The drunk mumbles, """"Ain't no use knockin, there's no paper on this side either.",Why are there so many Jones's in the phone book? Because they all have phones.,jester
"A lumberjack went in to a magic forest to cut a tree. When he got there, he started to swing at a tree when it suddenly shouted, ""Wait! I'm a talking tree!"" The lumberjack laughed and said, ""And you will dialogue.""",Boss: Where were you born? Santa : India. Boss: which part? Santa : What 'which part'? Whole body was born in India.,haha
"A man arrives at the gates of heaven. St. Peter asks, """"Religion?""""  The man says, """"Methodist."""" St. Peter looks down his list, and says,  """"Go to room 24, but be very quiet as you pass room 8.""""   Another man arrives at the gates of heaven. """"Religion?"""" """"Baptist."""" """"Go to room 18, but be very quiet as you pass room 8.""""   A third man arrives at the gates. """"Religion?"""" """"Jewish."""" """"Go to room 11, but be very quiet as you pass room 8.""""  The man says, """"I can understand there being different rooms for different religions, but why must I be quiet when I pass room 8?"""" St. Peter tells him, """"Well the Catholics are in room 8,  and they think they're the only ones here.","Q: If a person who speaks three languages is called """"tri-lingual,"""" and a person who speaks two languages is called """"bi-lingual,"""" what do call a person who only speaks one language?  A: American!",jester
"A couple of hunters are out in the woods in the deep south when one of them falls to the ground. He doesn't seem to be breathing, and his eyes are rolled back in his head.The other guy whips out his cell phone and calls 911. He gasps to the operator, """"My friend is dead! What can I do?"""" The operator, in a calm and soothing voice, says, """"Alright, take it easy. I can help. First, let's make sure he's dead."""" There is silence, and then a gun shot is heard.The hunter comes back on the line. """"Okay. Now what??",Why are there so many Jones's in the phone book? Because they all have phones.,jester
"There once was a man and a woman that both  got in  a terrible car wreck. Both of their vehicles   were completely destroyed, buy fortunately, no one  was   hurt.  In thankfulness, the woman said to the  man, 'We are both okay, so we should celebrate. I have   a  bottle of wine in my car, let's open it.'          So the woman got the bottleout of the car, and  handed it to the man. The man took a really big drink,  and handed the woman the bottle. The  woman  closed the bottle and put it down. The man  asked,   'Aren't you going to take a drink?'   The woman cleverly replied,  'No, I think I'll  just  wait for the cops to get here.'","Q: If a person who speaks three languages is called """"tri-lingual,"""" and a person who speaks two languages is called """"bi-lingual,"""" what do call a person who only speaks one language?  A: American!",jester
"My friend shouted, ""You have a BA, a Masters and a Ph.D., but you still act like an idiot!"" It was a third degree burn",I knew I was ready to have children when I went 3 weeks without dropping my phone.,haha
Three conspiracy theorists walk into a bar. You can't tell me that's just a coincidence!,"My wife said she saw a bowtie made from solid mahogany. She said she nearly bought it for me but she didn't think I would wear it. I replied ""Wooden tie?""",haha
