id_a,id_b,rating_a,rating_b,expected,prediction,is_correct,raw_response
3111,1446,1.83,0.33,A,B,False,<answer>B</answer>
1566,5422,2.65,1.6,A,B,False,<answer>B</answer>
1297,3122,3.15,1.67,A,B,False,<answer>B</answer>
7781,2740,2.89,1.29,A,B,False,<answer>B</answer>
7917,1977,2.9,1.58,A,B,False,<answer>B</answer>
1941,1742,2.9,1.6,A,B,False,<answer>B</answer>
6975,5614,3.0,1.75,A,A,True,<answer>A</answer>
408,792,0.27,1.84,B,B,True,<answer>B</answer>
5889,970,1.1,2.9,B,B,True,<answer>B</answer>
3386,4147,2.85,1.3,A,A,True,<answer>A</answer>
4662,1375,1.3,3.21,B,B,True,<answer>B</answer>
2810,2071,1.28,3.15,B,A,False,<answer>A</answer>
3631,4100,3.15,1.63,A,B,False,<answer>B</answer>
2412,1921,1.24,2.7,B,B,True,<answer>B</answer>
404,1904,3.35,1.89,A,B,False,<answer>B</answer>
4920,2112,2.1,3.2,B,A,False,<answer>A</answer>
6799,2847,2.4,1.12,A,B,False,<answer>B</answer>
2699,103,2.3,0.27,A,B,False,<answer>B</answer>
1735,5058,2.2,0.59,A,A,True,<answer>A</answer>
3833,5562,2.3,3.4,B,A,False,<answer>A</answer>
7813,5313,3.42,2.05,A,A,True,<answer>A</answer>
2946,4493,2.9,1.73,A,A,True,<answer>A</answer>
1004,2048,1.92,2.95,B,B,True,<answer>B</answer>
6533,6153,3.28,2.25,A,B,False,<answer>B</answer>
6719,4665,3.4,2.05,A,A,True,<answer>A</answer>
746,495,2.74,1.69,A,B,False,<answer>B</answer>
1201,7884,3.05,2.05,A,A,True,<answer>A</answer>
6635,6298,1.89,3.11,B,A,False,<answer>A</answer>
5986,805,1.95,3.1,B,B,True,<answer>B</answer>
2303,6676,1.58,3.05,B,B,True,<answer>B</answer>
2009,3345,2.65,1.6,A,B,False,<answer>B</answer>
5015,4349,0.58,1.71,B,A,False,<answer>A</answer>
6736,5643,2.2,0.7,A,B,False,<answer>B</answer>
2827,2394,1.13,2.3,B,A,False,<answer>A</answer>
1852,3015,1.65,2.88,B,A,False,<answer>A</answer>
2404,2217,2.75,1.5,A,B,False,<answer>B</answer>
4841,3149,2.6,1.45,A,B,False,<answer>B</answer>
3172,4105,1.35,3.4,B,A,False,<answer>A</answer>
6993,6656,2.05,3.21,B,A,False,<answer>A</answer>
3323,1864,3.26,2.0,A,B,False,<answer>B</answer>
6362,4938,2.9,1.65,A,B,False,<answer>B</answer>
1363,6840,1.72,3.6,B,B,True,<answer>B</answer>
3782,1106,3.32,1.33,A,B,False,<answer>B</answer>
6811,1976,0.84,2.0,B,A,False,<answer>A</answer>
4988,1076,3.0,1.9,A,B,False,<answer>B</answer>
1960,4438,1.47,2.5,B,A,False,I find <answer>A</answer> funnier. The idea of a headline becoming so white that it glares and prevents reading is a humorous play on words.
5957,75,3.25,1.36,A,A,True,<answer>A</answer>
3160,620,2.45,1.42,A,A,True,<answer>A</answer>
1478,6612,1.53,3.1,B,A,False,<answer>A</answer>
580,4674,2.95,1.6,A,B,False,<answer>B</answer>
6332,2425,3.25,1.75,A,B,False,<answer>B</answer>
2657,573,3.15,1.45,A,A,True,<answer>A</answer>
550,4184,3.5,1.2,A,A,True,<answer>A</answer>
6273,7204,3.05,1.94,A,B,False,<answer>B</answer>
1045,5654,2.05,3.65,B,A,False,<answer>A</answer>
1061,1363,3.3,1.72,A,B,False,<answer>B</answer>
408,1915,0.27,2.1,B,B,True,<answer>B</answer>
3703,3318,1.67,3.05,B,A,False,<answer>A</answer>
1582,3475,3.0,1.75,A,A,True,<answer>A</answer>
1650,2637,1.05,2.4,B,B,True,<answer>B</answer>
7321,1741,0.3,1.95,B,A,False,<answer>A</answer>
859,1140,2.93,1.82,A,B,False,<answer>B</answer>
974,7630,3.85,2.35,A,A,True,<answer>A</answer>
980,4204,2.8,1.36,A,A,True,<answer>A</answer>
4562,6860,0.7,2.75,B,A,False,<answer>A</answer>
1734,2419,2.65,1.65,A,A,True,<answer>A</answer>
2172,4276,3.06,1.82,A,B,False,<answer>B</answer>
3651,1682,1.7,3.21,B,A,False,<answer>A</answer>
7090,1245,1.45,2.68,B,A,False,<answer>A</answer>
1072,375,1.37,2.89,B,A,False,<answer>A</answer>
6019,956,1.47,0.1,A,B,False,<answer>B</answer>
5836,2117,2.12,0.64,A,A,True,<answer>A</answer>
3558,1647,2.44,1.42,A,B,False,<answer>B</answer>
4338,7668,2.68,1.65,A,A,True,<answer>A</answer>
6577,4093,2.85,1.75,A,A,True,<answer>A</answer>
1797,3510,2.95,1.85,A,A,True,<answer>A</answer>
6669,5138,1.32,2.68,B,B,True,<answer>B</answer>
7295,3715,3.15,2.05,A,A,True,<answer>A</answer>
6745,5327,1.79,3.35,B,B,True,<answer>B</answer>
6061,1995,3.11,1.94,A,A,True,<answer>A</answer>
4222,4343,2.83,0.53,A,B,False,<answer>B</answer>
4452,6717,3.11,1.87,A,B,False,<answer>B</answer>
6361,7750,1.38,2.61,B,A,False,<answer>A</answer>
5058,1979,0.59,2.68,B,B,True,<answer>B</answer>
1467,7599,3.0,1.85,A,A,True,<answer>A</answer>
5454,6640,2.2,0.68,A,B,False,<answer>B</answer>
5016,6969,1.84,3.11,B,A,False,<answer>A</answer>
7087,4531,2.95,1.9,A,B,False,<answer>B</answer>
3950,3826,3.05,1.2,A,B,False,<answer>B</answer>
678,3098,3.21,2.0,A,A,True,<answer>A</answer>
3807,2630,3.05,1.94,A,B,False,<answer>B</answer>
7109,492,3.1,0.94,A,A,True,<answer>A</answer>
6532,1802,1.26,3.15,B,B,True,<answer>B</answer>
4460,3909,2.69,0.87,A,A,True,<answer>A</answer>
4343,6835,0.53,1.68,B,A,False,<answer>A</answer>
3459,96,1.65,2.8,B,A,False,<answer>A</answer>
4362,4006,1.68,3.1,B,B,True,<answer>B</answer>
2143,4072,2.21,3.35,B,B,True,<answer>B</answer>
6652,4130,2.0,3.05,B,A,False,<answer>A</answer>
3909,4886,0.87,2.5,B,B,True,<answer>B</answer>
5529,7288,1.16,2.55,B,A,False,<answer>A</answer>
6899,4344,0.5,2.3,B,B,True,<answer>B</answer>
7424,6131,3.05,1.42,A,A,True,<answer>A</answer>
42,2892,1.76,3.53,B,A,False,<answer>A</answer>
4562,834,0.7,1.87,B,B,True,<answer>B</answer>
5430,3804,0.5,2.95,B,B,True,<answer>B</answer>
5605,1821,1.8,2.9,B,B,True,<answer>B</answer>
5094,5957,2.05,3.25,B,B,True,<answer>B</answer>
7162,1063,3.4,2.4,A,B,False,<answer>B</answer>
1593,4604,1.9,3.16,B,A,False,<answer>A</answer>
7226,6137,1.7,3.0,B,A,False,<answer>A</answer>
3054,5045,3.16,0.82,A,B,False,<answer>B</answer>
2075,4584,1.83,3.0,B,B,True,<answer>B</answer>
880,1337,1.58,2.58,B,A,False,<answer>A</answer>
5926,7940,1.1,2.1,B,B,True,<answer>B</answer>
7168,2882,3.06,1.95,A,B,False,<answer>B</answer>
4225,7666,2.35,1.0,A,B,False,<answer>B</answer>
2936,6913,0.65,2.32,B,B,True,<answer>B</answer>
7151,2442,3.53,2.15,A,A,True,<answer>A</answer>
3386,3227,2.85,1.56,A,A,True,<answer>A</answer>
2528,7117,1.45,3.22,B,A,False,<answer>A</answer>
6181,7091,2.1,3.1,B,A,False,<answer>A</answer>
3471,4092,1.21,2.21,B,B,True,<answer>B</answer>
4150,4931,1.46,2.68,B,B,True,<answer>B</answer>
204,1958,1.56,2.9,B,A,False,<answer>A</answer>
7755,7684,3.35,1.58,A,A,True,<answer>A</answer>
7253,1881,3.2,1.95,A,B,False,<answer>B</answer>
983,626,1.56,2.94,B,B,True,<answer>B</answer>
5484,1852,2.9,1.65,A,A,True,<answer>A</answer>
6696,2905,0.1,2.0,B,B,True,<answer>B</answer>
789,6392,1.5,3.11,B,A,False,<answer>A</answer>
7321,7072,0.3,2.53,B,B,True,<answer>B</answer>
3607,6297,1.06,2.15,B,A,False,<answer>A</answer>
429,2384,2.75,1.53,A,B,False,<answer>B</answer>
7789,2740,2.44,1.29,A,B,False,<answer>B</answer>
1024,5282,1.87,3.25,B,B,True,<answer>B</answer>
4387,7177,3.0,1.75,A,B,False,<answer>B</answer>
1881,1039,1.95,3.21,B,B,True,<answer>B</answer>
3039,4719,3.0,2.0,A,B,False,<answer>B</answer>
5738,4996,1.94,3.05,B,B,True,<answer>B</answer>
1241,7930,3.07,0.94,A,B,False,<answer>B</answer>
3861,159,3.0,1.28,A,B,False,<answer>B</answer>
3569,3996,2.11,3.17,B,A,False,<answer>A</answer>
2592,7882,1.22,3.05,B,B,True,<answer>B</answer>
4042,1821,1.1,2.9,B,B,True,<answer>B</answer>
5250,4394,1.0,2.6,B,B,True,<answer>B</answer>
5821,3855,3.45,2.16,A,B,False,<answer>B</answer>
7137,7882,1.95,3.05,B,A,False,<answer>A</answer>
2226,578,2.6,1.5,A,B,False,<answer>B</answer>
5200,6138,1.9,0.6,A,A,True,<answer>A</answer>
3913,1390,2.75,1.74,A,A,True,<answer>A</answer>
1135,1556,3.33,2.24,A,B,False,<answer>B</answer>
1300,5817,1.59,2.84,B,B,True,<answer>B</answer>
3982,879,1.74,3.25,B,B,True,<answer>B</answer>
2202,3245,3.5,2.0,A,B,False,<answer>B</answer>
5249,5741,3.3,1.5,A,B,False,<answer>B</answer>
5710,7864,2.37,1.3,A,A,True,<answer>A</answer>
4322,4857,2.79,1.19,A,A,True,<answer>A</answer>
4607,4665,3.47,2.05,A,A,True,<answer>A</answer>
2303,3947,1.58,3.05,B,B,True,<answer>B</answer>
7832,1123,3.6,0.95,A,B,False,<answer>B</answer>
4054,3161,1.9,3.0,B,B,True,<answer>B</answer>
7921,5570,1.73,3.0,B,A,False,<answer>A</answer>
7145,2313,3.11,1.95,A,A,True,<answer>A</answer>
4174,5990,3.25,2.15,A,B,False,<answer>B</answer>
1833,6410,1.53,2.65,B,A,False,<answer>A</answer>
6544,6691,3.4,1.89,A,B,False,<answer>B</answer>
7500,405,2.79,1.45,A,B,False,<answer>B</answer>
3657,427,0.68,1.69,B,A,False,<answer>A</answer>
6770,1522,2.63,1.62,A,A,True,<answer>A</answer>
7250,2902,3.68,2.68,A,A,True,<answer>A</answer>
421,3950,1.0,3.05,B,A,False,<answer>A</answer>
1151,4617,2.95,1.89,A,B,False,<answer>B</answer>
7601,3831,2.35,1.29,A,B,False,<answer>B</answer>
1269,6827,2.65,1.5,A,A,True,<answer>A</answer>
7666,3572,1.0,2.0,B,B,True,<answer>B</answer>
2117,1671,0.64,1.95,B,A,False,<answer>A</answer>
3644,1244,1.37,2.75,B,A,False,<answer>A</answer>
669,5260,1.84,3.0,B,A,False,<answer>A</answer>
122,5910,0.56,2.63,B,B,True,<answer>B</answer>
4549,1617,2.95,1.67,A,A,True,I find <answer>A</answer> to be funnier.
5842,2200,3.32,1.55,A,B,False,<answer>B</answer>
2815,2021,3.05,1.56,A,B,False,<answer>B</answer>
1331,1145,1.67,3.2,B,B,True,<answer>B</answer>
1657,7820,1.11,2.44,B,B,True,<answer>B</answer>
5134,6544,1.75,3.4,B,A,False,<answer>A</answer>
926,7007,2.9,1.8,A,B,False,<answer>B</answer>
7250,2305,3.68,2.05,A,A,True,<answer>A</answer>
956,211,0.1,2.75,B,B,True,<answer>B</answer>
789,5278,1.5,2.8,B,A,False,<answer>A</answer>
755,3161,1.45,3.0,B,A,False,<answer>A</answer>
718,6018,3.55,1.79,A,B,False,<answer>B</answer>
161,1846,1.69,2.74,B,B,True,<answer>B</answer>
2198,6569,2.25,1.0,A,A,True,<answer>A</answer>
4951,1705,1.53,3.0,B,A,False,<answer>A</answer>
3572,1585,2.0,3.6,B,A,False,<answer>A</answer>
6566,1026,2.44,1.35,A,B,False,<answer>B</answer>
1547,3042,4.0,2.05,A,A,True,<answer>A</answer>
3300,4262,1.29,3.1,B,B,True,<answer>B</answer>
2011,3259,2.25,3.3,B,A,False,<answer>A</answer>
315,5449,2.75,1.55,A,A,True,<answer>A</answer>
4586,124,2.25,3.25,B,B,True,<answer>B</answer>
2711,7039,1.9,2.95,B,B,True,<answer>B</answer>
574,3078,2.63,1.55,A,B,False,<answer>B</answer>
7704,1124,0.72,2.25,B,B,True,<answer>B</answer>
5235,1790,1.7,2.75,B,B,True,<answer>B</answer>
6007,4217,1.56,2.79,B,B,True,<answer>B</answer>
2673,991,1.55,0.27,A,A,True,<answer>A</answer>
5976,2202,1.4,3.5,B,A,False,<answer>A</answer>
1607,3517,1.8,2.85,B,A,False,<answer>A</answer>
1751,2618,1.5,2.63,B,B,True,<answer>B</answer>
4957,1107,3.47,1.22,A,A,True,<answer>A</answer>
652,2252,2.58,1.55,A,B,False,<answer>B</answer>
5241,5753,2.6,1.06,A,B,False,<answer>B</answer>
2487,2832,1.6,2.93,B,A,False,<answer>A</answer>
454,3269,2.85,1.81,A,A,True,<answer>A</answer>
347,2391,2.65,1.6,A,B,False,<answer>B</answer>
4739,7755,0.83,3.35,B,B,True,<answer>B</answer>
2348,3140,2.5,1.5,A,A,True,<answer>A</answer>
7855,4765,3.32,1.85,A,B,False,<answer>B</answer>
4662,7526,1.3,3.16,B,B,True,<answer>B</answer>
7472,2504,1.1,2.5,B,A,False,<answer>A</answer>
2343,4100,2.8,1.63,A,A,True,<answer>A</answer>
7994,3096,3.7,1.37,A,A,True,<answer>A</answer>
8,4387,1.79,3.0,B,B,True,<answer>B</answer>
5036,4072,1.58,3.35,B,A,False,<answer>A</answer>
2422,4219,0.8,2.65,B,B,True,<answer>B</answer>
5927,4446,2.7,1.7,A,B,False,<answer>B</answer>
2771,3318,2.0,3.05,B,B,True,<answer>B</answer>
5040,6524,1.79,2.89,B,A,False,<answer>A</answer>
4996,2278,3.05,1.92,A,A,True,<answer>A</answer>
696,2108,1.85,3.15,B,B,True,<answer>B</answer>
1157,3903,3.28,2.17,A,B,False,<answer>B</answer>
2287,3861,1.95,3.0,B,A,False,<answer>A</answer>
1551,6274,1.9,3.4,B,A,False,<answer>A</answer>
2459,5153,3.05,1.8,A,B,False,<answer>B</answer>
7485,3571,1.18,2.32,B,A,False,<answer>A</answer>
1291,1133,1.95,3.15,B,B,True,<answer>B</answer>
7352,796,3.5,2.25,A,B,False,<answer>B</answer>
1976,7585,2.0,3.05,B,B,True,<answer>B</answer>
5969,2307,2.65,1.45,A,B,False,<answer>B</answer>
1697,2554,2.79,1.38,A,B,False,<answer>B</answer>
2662,1983,2.63,1.42,A,A,True,<answer>A</answer>
3425,4233,1.13,2.65,B,B,True,<answer>B</answer>
159,7796,1.28,2.7,B,B,True,<answer>B</answer>
2001,5512,1.25,3.15,B,A,False,<answer>A</answer>
7799,7738,0.67,2.05,B,B,True,<answer>B</answer>
5464,4551,1.55,2.75,B,B,True,<answer>B</answer>
4250,3585,2.7,1.08,A,A,True,<answer>A</answer>
5859,2795,0.69,3.0,B,A,False,<answer>A</answer>
735,6835,2.68,1.68,A,A,True,<answer>A</answer>
858,4132,1.5,2.55,B,B,True,<answer>B</answer>
4898,6155,1.75,3.0,B,B,True,<answer>B</answer>
4635,7315,1.53,3.33,B,A,False,<answer>A</answer>
3577,5440,1.58,2.95,B,B,True,<answer>B</answer>
3662,4059,1.35,2.6,B,A,False,<answer>A</answer>
4009,6903,2.37,3.6,B,B,True,<answer>B</answer>
7763,5269,3.3,2.2,A,B,False,<answer>B</answer>
6780,4980,1.7,2.71,B,B,True,<answer>B</answer>
3750,7882,1.9,3.05,B,B,True,<answer>B</answer>
2520,4544,2.65,1.35,A,A,True,<answer>A</answer>
7426,2433,1.46,3.25,B,B,True,<answer>B</answer>
1182,4445,2.2,3.3,B,A,False,<answer>A</answer>
6619,2578,2.25,3.53,B,A,False,<answer>A</answer>
5496,3963,3.25,2.0,A,B,False,<answer>B</answer>
1921,6070,2.7,1.65,A,A,True,<answer>A</answer>
6447,4400,3.25,1.95,A,B,False,<answer>B</answer>
2356,4159,3.0,1.68,A,B,False,<answer>B</answer>
2261,7654,2.3,1.0,A,A,True,<answer>A</answer>
7094,497,3.15,1.87,A,A,True,<answer>A</answer>
4967,178,3.0,1.79,A,B,False,<answer>B</answer>
232,56,1.5,2.89,B,A,False,<answer>A</answer>
4066,7810,3.8,2.65,A,A,True,<answer>A</answer>
6899,7921,0.5,1.73,B,B,True,<answer>B</answer>
1796,5758,0.69,2.11,B,B,True,<answer>B</answer>
3397,7104,1.67,2.83,B,A,False,<answer>A</answer>
122,2715,0.56,2.55,B,A,False,<answer>A</answer>
6899,1339,0.5,2.2,B,A,False,<answer>A</answer>
3750,1582,1.9,3.0,B,B,True,<answer>B</answer>
7271,6569,2.05,1.0,A,B,False,<answer>B</answer>
37,3118,2.53,1.05,A,A,True,<answer>A</answer>
1179,1472,1.17,2.45,B,B,True,<answer>B</answer>
997,1342,3.05,1.07,A,A,True,<answer>A</answer>
597,1263,1.85,2.85,B,B,True,<answer>B</answer>
1751,380,1.5,2.85,B,B,True,<answer>B</answer>
6451,1517,1.14,3.21,B,A,False,<answer>A</answer>
4170,159,2.4,1.28,A,B,False,<answer>B</answer>
4473,6881,2.3,1.2,A,A,True,<answer>A</answer>
6218,6559,1.79,2.95,B,A,False,<answer>A</answer>
6503,996,1.6,2.85,B,A,False,<answer>A</answer>
472,7401,2.1,0.89,A,B,False,<answer>B</answer>
1531,6006,2.95,1.41,A,A,True,<answer>A</answer>
30,2947,1.21,2.79,B,B,True,<answer>B</answer>
6514,2200,2.9,1.55,A,A,True,<answer>A</answer>
7811,1658,2.0,3.2,B,A,False,<answer>A</answer>
6669,7817,1.32,2.8,B,B,True,<answer>B</answer>
7049,626,1.84,2.94,B,B,True,<answer>B</answer>
7980,4262,2.05,3.1,B,B,True,<answer>B</answer>
2648,2884,2.3,1.19,A,A,True,<answer>A</answer>
6361,7740,1.38,2.47,B,A,False,<answer>A</answer>
7095,5558,3.75,2.6,A,B,False,<answer>B</answer>
5064,338,1.9,3.0,B,B,True,<answer>B</answer>
421,7185,1.0,3.17,B,B,True,<answer>B</answer>
1601,6815,3.0,1.65,A,B,False,<answer>B</answer>
1744,2160,2.85,1.5,A,B,False,<answer>B</answer>
4758,956,1.26,0.1,A,B,False,<answer>B</answer>
6969,4214,3.11,1.25,A,A,True,<answer>A</answer>
3406,7173,0.82,2.39,B,B,True,<answer>B</answer>
4988,6826,3.0,1.85,A,B,False,<answer>B</answer>
2553,4240,2.06,3.1,B,A,False,<answer>A</answer>
4387,6090,3.0,1.95,A,B,False,<answer>B</answer>
5751,5373,2.7,1.38,A,B,False,<answer>B</answer>
6656,4752,3.21,1.74,A,B,False,<answer>B</answer>
7090,2096,1.45,2.47,B,B,True,<answer>B</answer>
1933,3909,2.25,0.87,A,A,True,<answer>A</answer>
2160,1910,1.5,2.74,B,A,False,<answer>A</answer>
4378,6442,2.07,3.1,B,B,True,<answer>B</answer>
1326,3118,2.6,1.05,A,A,True,<answer>A</answer>
6425,4214,2.39,1.25,A,A,True,<answer>A</answer>
2037,7502,3.06,1.6,A,A,True,<answer>A</answer>
5787,2944,3.08,1.56,A,B,False,<answer>B</answer>
4059,4764,2.6,1.28,A,B,False,<answer>B</answer>
1455,2344,1.27,3.0,B,B,True,<answer>B</answer>
408,7724,0.27,2.06,B,B,True,<answer>B</answer>
3456,7214,1.0,2.9,B,B,True,<answer>B</answer>
1796,6159,0.69,2.37,B,B,True,<answer>B</answer>
5266,1204,1.57,2.75,B,B,True,<answer>B</answer>
5923,1884,1.9,3.0,B,B,True,<answer>B</answer>
535,4765,3.05,1.85,A,A,True,<answer>A</answer>
7680,7223,2.26,3.26,B,A,False,<answer>A</answer>
4852,7797,1.5,3.35,B,B,True,<answer>B</answer>
6849,1033,3.05,2.0,A,A,True,<answer>A</answer>
3057,1026,2.45,1.35,A,A,True,<answer>A</answer>
2112,4810,3.2,1.87,A,B,False,<answer>B</answer>
5464,2165,1.55,3.3,B,A,False,<answer>A</answer>
3429,2392,3.15,0.83,A,A,True,<answer>A</answer>
1133,3764,3.15,1.5,A,B,False,<answer>B</answer>
6770,2418,2.63,1.28,A,A,True,<answer>A</answer>
3055,895,2.5,1.4,A,A,True,<answer>A</answer>
1452,1770,2.55,3.79,B,A,False,<answer>A</answer>
5597,2001,3.55,1.25,A,A,True,<answer>A</answer>
7162,18,3.4,1.78,A,A,True,<answer>A</answer>
1796,5663,0.69,2.35,B,B,True,<answer>B</answer>
3759,7944,2.3,3.3,B,B,True,<answer>B</answer>
3423,5425,2.11,3.2,B,B,True,<answer>B</answer>
1427,4810,3.0,1.87,A,A,True,<answer>A</answer>
7123,3469,1.42,3.53,B,A,False,<answer>A</answer>
7363,7427,3.05,1.65,A,B,False,<answer>B</answer>
4559,5279,3.15,2.1,A,B,False,<answer>B</answer>
1170,5780,0.94,3.05,B,B,True,<answer>B</answer>
1061,497,3.3,1.87,A,B,False,<answer>B</answer>
750,2340,2.89,1.6,A,A,True,<answer>A</answer>
7293,1197,2.8,1.32,A,B,False,<answer>B</answer>
3676,3013,3.55,2.3,A,B,False,<answer>B</answer>
2578,6033,3.53,2.1,A,A,True,<answer>A</answer>
2336,3466,1.79,3.1,B,B,True,<answer>B</answer>
3423,7151,2.11,3.53,B,B,True,<answer>B</answer>
7630,3326,2.35,1.0,A,B,False,<answer>B</answer>
3425,1558,1.13,2.2,B,B,True,<answer>B</answer>
4185,5484,0.89,2.9,B,B,True,<answer>B</answer>
3807,3300,3.05,1.29,A,B,False,<answer>B</answer>
4166,6308,2.32,1.22,A,B,False,<answer>B</answer>
1607,1039,1.8,3.21,B,B,True,<answer>B</answer>
6518,93,1.26,2.55,B,B,True,<answer>B</answer>
5640,6327,1.12,2.22,B,B,True,<answer>B</answer>
6104,4184,2.5,1.2,A,A,True,<answer>A</answer>
3146,3486,3.0,1.85,A,B,False,<answer>B</answer>
4957,5588,3.47,1.67,A,A,True,<answer>A</answer>
