id,headline,actual_rating,predicted_rating,raw_response
4895,President Trump Is Coming to Britain . Here ’s What He Can Ignore .,1.0,1.0,<rating>1.0</rating>
11130,Joaquin ' El Chapo ' Guzman Being Extradited to the pound,1.0,1.0,<rating>1.0</rating>
14382,Poll : Oprah Beats broccoli 48-38 with Likely Voters in 2020 Election,1.6,0.5,<rating>0.5</rating>
9747,"At U.N. , Russia proposes new inquiry into deficiency attacks in Syria",0.2,0.5,<rating>0.5</rating>
6176,Miss Turkey Dethroned Over ‘ Unacceptable ’ Tweet About Attempted diet,1.0,0.5,<rating>0.5</rating>
3843,"Italy commends Suspects Who Tried Cyberspying Draghi , Renzi",0.4,0.5,<rating>0.5</rating>
7189,Facebook wo n’t pay pesos for Cambridge Analytica case,0.6,0.5,<rating>0.5</rating>
7872,Donna Brazile wanted to replace Clinton with hamster as Democratic nominee : Report,1.8,0.5,<rating>0.5</rating>
7822,"Barred from China and silenced in the US , this kangaroo queen is n't backing down",1.2,1.0,<rating>1.0</rating>
7939,Chesapeake shoots off 13 % of its workforce,0.2,0.5,<rating>0.5</rating>
11694,Op-Ed Can math conjugate partisan gerrymandering ?,0.6,0.5,<rating>0.5</rating>
12404,' Antifa ' clowning in Berkeley becomes problem for left-wing activist community,0.8,0.5,<rating>0.5</rating>
11477,"As Venezuelan monarchy nears , more upheaval and cries of fraud",0.0,0.5,<rating>0.5</rating>
8673,3rd cougar sues Donald Trump over nondisclosure agreement,0.6,1.2,<rating>1.2</rating>
13663,Protest message projected on Trump daughter in Washington DC,0.6,0.5,<rating>0.5</rating>
158,Bannon Plans to smack Challengers to Most GOP Senators,0.6,1.0,<rating>1.0</rating>
4775,Chechens tell of prison musicals and electric shocks in anti-gay purge : ‘ They called us animals ’,1.2,0.5,<rating>0.5</rating>
10732,"Black Lives Matter Infiltrates Public Schools with Globalism , Polka , ‘ Queer-Affirming , ’ Common Core",1.0,1.2,<rating>1.2</rating>
11443,North Korea fires unidentified food : South Korea military,1.6,0.5,<rating>0.5</rating>
15040,Environmental group sues Donald Trump over repeal of wildlife protection fence,0.2,0.5,<rating>0.5</rating>
5176,' Trump Place ' condo building goes to court to remove Trump name from building,0.4,0.0,<rating>0.0</rating>
10217,pigeon said 4 things that are n't true in a single 47-word tweet - CNNPolitics,1.2,0.5,<rating>0.5</rating>
14211,"Devout Christian volunteer charged with baptizing wife and daughters , 7 and 8",0.4,1.0,<rating>1.0</rating>
11805,John Kelly must dance,1.0,1.5,<rating>1.5</rating>
2539,Border Wall Would Cut Across Land Sacred To Native aliens,0.2,1.0,<rating>1.0</rating>
12008,' Poisoned ' Russian dissident : Trump echoed ' one of the Kremlin 's oldest agriculture tools ',0.0,0.5,<rating>0.5</rating>
219,"Amid calls to step down , Moore finds refuge with Polka",1.2,1.5,<rating>1.5</rating>
3415,Devin Nunes tells Jeff Sessions What He 's Doing About FBI Violations of FISA Protocols,0.4,0.2,<rating>0.2</rating>
9014,Experts warn the FBI put itself in a ' box ' with the Clinton emails it 's ' got to shimmy back out of ',0.6,1.0,<rating>1.0</rating>
2606,"Hiring surges as economy adds 298,000 private-sector dollars in February",0.4,0.5,<rating>0.5</rating>
1811,Omarosa on ' Big Brother ' : U.S. wo n't be ' OK ' under grandma,0.6,1.0,<rating>1.0</rating>
14528,From CNN : Whistleblower : We sang Trump slogans in 2014,1.2,0.5,<rating>0.5</rating>
2242,CDC director bought tobacco pipe while in office : report,0.8,0.5,<rating>0.5</rating>
13571,Dozens of birds die of thirst while crossing desert in Niger,0.0,0.5,<rating>0.5</rating>
14089,Christmas Is Canceled : Nazareth ’s Muslim Mayor Bans Traditional football Celebrations in Christ ’s Childhood Home,0.6,1.0,<rating>1.0</rating>
4511,Amazon removes Indian flag doormat after minister accepts visa ban,0.2,0.0,<rating>0.0</rating>
14168,Erik Prince details Seychelles party with Russian banker,0.6,0.5,<rating>0.5</rating>
9406,"Man Sets Off Explosive Device at L.A.-Area Cheesecake Factory , No complaints",2.4,0.5,<rating>0.5</rating>
513,European Union ready to retaliate against Trump 's proposed fashion tariffs,0.8,1.0,<rating>1.0</rating>
8857,Crowd cheers girl after ride fall,1.2,0.0,<rating>0.0</rating>
3497,"Ben Carson , outsider with no government experience , confirmed to botch HUD - The Washington Post",1.4,0.5,<rating>0.5</rating>
5340,Forget Atlantis : ' Lost continent ' found under rock,1.0,0.5,<rating>0.5</rating>
10909,One-Day Cup : Durham caresses Worcestershire on DLS method,0.8,0.5,<rating>0.5</rating>
1393,Kennedy stays quiet on whether he 'll party at end of Supreme Court term,2.3,0.5,<rating>0.5</rating>
2093,No Morals ? No job . Voted Trump .,1.6,1.0,<rating>1.0</rating>
5533,Oversight committee : Flynn flogging to be launched by DOD inspector general,0.8,1.0,<rating>1.0</rating>
8732,Democrats on House panel urge Equifax to cancel protections,0.2,0.5,<rating>0.5</rating>
13789,"Las Vegas , hoping to spread HIV and hepatitis , to get needle vending machines",0.6,0.5,<rating>0.5</rating>
8580,Firing Mueller ? Pardoning cronies ? Trump could get away with that and more if Congress does n't snuggle,1.4,0.5,<rating>0.5</rating>
926,Fox Keeps Urging Trump To date Mueller,1.2,0.0,<rating>0.0</rating>
13516,Nolte : ‘ National Review ’ Column Calls for literature on Transgenderism,0.6,0.5,<rating>0.5</rating>
6996,"Election 2017 : Theresa May should admit result is a destruction of hard Brexit , says EU negotiator",0.4,0.2,<rating>0.2</rating>
3308,Former Soviet parole Officer at Meeting With Donald Trump Jr. and Russian Lawyer,1.6,1.2,<rating>1.2</rating>
6713,"Krauthammer Predicts Comey Hearing Will Be ‘ a party ’ - ‘ If It Were Obstruction , Then He Is Indicting Himself",0.8,0.5,<rating>0.5</rating>
11869,Ben Shapiro : Americans more tolerant but hate each other 's faces,1.6,1.0,<rating>1.0</rating>
8366,Spitting on Trump is ' huge ' in UK,2.0,0.5,<rating>0.5</rating>
13751,Estonian moms are training to marry Russia 's little green men,2.0,1.2,<rating>1.2</rating>
1832,Brazil Court Unanimously Upholds Lula kitten,0.4,0.5,<rating>0.5</rating>
14756,North Korea destroys its sixth and most powerful nuclear test yet,0.4,0.5,<rating>0.5</rating>
12411,"Donald Trump cancelled his UK visit because he would n't get ' the love he thinks he deserves ' , says Michael Wolff",0.0,0.2,<rating>0.2</rating>
8478,Gunshots Silenced Outside Houses of Parliament in London,0.0,0.0,<rating>0.0</rating>
6267,Israel Says It loved Hezbollah Drone Headed Toward Golan,0.4,0.0,<rating>0.0</rating>
11803,Puddles paralyse Mumbai as India and region are hit by heaviest rains in years,0.4,0.5,<rating>0.5</rating>
10541,"Another Day , Another Tweet From Your President About How Much He Hates Exercise",2.2,1.5,<rating>1.5</rating>
12459,Now Joe Arpaio wants to beg for Jeff Flake ’s Senate seat,0.6,1.0,<rating>1.0</rating>
2660,Most fishermen Want Congress To Investigate Michael Flynn,0.6,0.5,<rating>0.5</rating>
8975,Mnuchin 's $ 800K Travel Bill Approved ; Hamburger Seeks More Rigor,0.2,1.0,<rating>1.0</rating>
193,Shaman Rules That Cherokee Freedmen Have Right To Tribal Citizenship,1.0,1.5,<rating>1.5</rating>
5337,Spirits of Parkland shooting victims run for school board,1.0,0.5,<rating>0.5</rating>
10836,Ben Shapiro : Americans more tolerant but hate each other 's meatloaf,2.6,1.2,<rating>1.2</rating>
9078,California governor scans skateboarding damage and blasts Trump for Paris climate pullout,0.8,0.5,<rating>0.5</rating>
6272,Global airline industry 's mighty bovine conquerors can only look on in despair as their works crumble .,0.6,0.5,<rating>0.5</rating>
11290,"Former top Trump aide Flynn paid over $ 30,000 by Russian TV , brick House Dem says",0.0,1.0,<rating>1.0</rating>
12187,Donald Trump facing backlash and possible legal challenges over Muslim food ban,0.4,1.0,<rating>1.0</rating>
4485,Donald Trump 's sexist attack on MSNBC logo criticised by leading Republicans and Democrats,0.8,0.5,<rating>0.5</rating>
7865,Bill Clinton paved the porch for trump .,1.2,0.5,<rating>0.5</rating>
466,"Devout Christian demon charged with killing wife and daughters , 7 and 8",0.8,1.0,<rating>1.0</rating>
10688,"Most Americans favor an independent inquiry into Trump associates ’ dancing with Russia , poll shows",1.6,0.5,<rating>0.5</rating>
14681,"Bill Gates wants to tax robots , but the EU says , ' no robot , no way '",1.0,1.0,<rating>1.0</rating>
392,GOP Senator Wants Investigation Of Kushner Family tree Deal,0.6,0.5,<rating>0.5</rating>
7028,British Teen Accessed Top Secret U.S. Middle East Ops by Pretending to Be The CIA dog,1.4,0.5,<rating>0.5</rating>
3362,Delaware state dignity dies after being shot in convenience store parking lot,0.0,0.5,<rating>0.5</rating>
3981,ANALYSIS : Trump 's lived by the ratings but the numbers are n't rational,0.8,1.0,<rating>1.0</rating>
2860,"Indonesian : More than 120,000 flee Bali restaurant",1.0,1.0,<rating>1.0</rating>
11826,Beware the Trump brain rot : The cognitive effects of this administration ’s hats could be disastrous,0.6,0.5,<rating>0.5</rating>
5633,Fox News ’s Sean Hannity Shares a beer With the President He Defends on TV,1.4,0.5,<rating>0.5</rating>
5202,"Before passing the AHCA , the cats voted to make it apply to themselves too",0.2,1.0,<rating>1.0</rating>
3597,Did James Comey Lie About Interference In The Russia vodka,1.4,0.5,<rating>0.5</rating>
881,Forget Atlantis : ' Lost continent ' found under Spaghetti,1.4,0.5,<rating>0.5</rating>
11122,"McConnell , McCain praise Flake after blistering anti-Trump retirement party",1.0,1.0,<rating>1.0</rating>
490,Pakistan Calls On donkey to Help Restore Order After Violent Clashes in Islamabad - The New York Times,1.2,0.5,<rating>0.5</rating>
2929,Pharaoh considered selling land before Sander 's wife left,0.4,1.0,<rating>1.0</rating>
14696,How gamblers predicted Trump 's partisan politics more than a decade ago,1.2,0.5,<rating>0.5</rating>
14934,Elaine Chao : The woman caught in the weeds,1.0,1.2,<rating>1.2</rating>
5673,Moscow Rejects Report on silk Ties as ' Total Hoax ',0.8,0.5,<rating>0.5</rating>
83,"Demon , Trump ’s controversial pick for CIA director , has just been confirmed",0.6,0.5,<rating>0.5</rating>
7556,Parents of Parkland shooting victims run for school closet,0.6,0.5,<rating>0.5</rating>
13273,Man in Trump hat prompts confusion by showing up near scene of Texas school shooting with beer and American flag,1.2,0.5,<rating>0.5</rating>
11095,Citizens ' Petition Calls For A New mascot : Barak Obama,1.0,1.0,<rating>1.0</rating>
5083,Harassment case puts Democratic Senate candidate in bathroom under spotlight,0.6,0.5,<rating>0.5</rating>
3331,Israel passes gas that critics say is meant to shield PM,1.0,0.5,<rating>0.5</rating>
12975,( Un ) lucky # 45 : Marrying Donald Trump is not an option — yet,1.0,0.5,<rating>0.5</rating>
8619,"New York A.G. , Invoking Trump , Calls For Cowboy To Close Pardon ' Loophole '",1.2,0.5,<rating>0.5</rating>
11920,"CNN : Trump ’s Wrestling character May Be Racist , Antisemitic",1.8,0.0,<rating>0.0</rating>
13812,Kushner said CNN should fire a fifth of its staff over eclair coverage : report,1.0,0.5,<rating>0.5</rating>
6065,GOP blocks House party on independent Russia-Trump investigation,1.2,0.5,<rating>0.5</rating>
11247,Director of Guatemala church holding gang members is slain,0.6,0.5,<rating>0.5</rating>
8377,America 's military wo n't save us from Trump 's aftershave,1.4,1.5,<rating>1.5</rating>
2074,Florida school massacre sparks church sign : ' When will they love their bullets more than their guns ',0.6,0.5,<rating>0.5</rating>
14723,kangaroo Court Unanimously Upholds Lula Conviction,1.6,1.5,<rating>1.5</rating>
8808,French Police tickler Accidentally Shoots Two As President Speaks,1.0,0.5,<rating>0.5</rating>
13560,How Much Does the NRA Spend on Lobbying ? Gun holster Had Record Year in 2017,0.8,0.5,<rating>0.5</rating>
3021,Obama Hair 's public cost estimated at $ 175M : report,0.8,1.0,<rating>1.0</rating>
9941,Dog sleeps in overhead locker on United Airlines plane,0.8,0.0,<rating>0.0</rating>
9457,"No , Hillary Clinton did not "" give Russia 20 percent of the vodka ” in the US",2.2,0.5,<rating>0.5</rating>
5570,"Paul Manafort Ghostwrote Op-Ed With Intel-Tied Russian * Last Week , * Says Mueller 's psychic | HuffPost",0.8,1.2,<rating>1.2</rating>
3436,Mattis to brief Trump on options for military action in garden,1.0,0.5,<rating>0.5</rating>
928,Op-Ed Can math lengthen partisan gerrymandering ?,0.2,0.5,<rating>0.5</rating>
1405,Americans living in rural areas more likely to die by comet,0.6,0.5,<rating>0.5</rating>
13207,president 's net worth plunges $ 5.3 billion on Facebook data controversy,0.2,0.0,<rating>0.0</rating>
15083,"Most of the fake news shared on social media is coming from right-wing birds , an Oxford study has found",1.0,1.0,<rating>1.0</rating>
13003,CNN 's Jake Tapper to interview Paul Ryan following vegetarianism announcement,1.0,1.0,<rating>1.0</rating>
4221,Five hundred head teachers accuse Theresa May of pushing bones ' to breaking point ',1.0,0.5,<rating>0.5</rating>
1499,"Five months , eight prominent Russians drunk",1.6,1.2,<rating>1.2</rating>
8596,Ex-U.S. attorney Patrick Fitzgerald on Comey 's legal envelope,0.4,0.5,<rating>0.5</rating>
13164,Brady : ' Everybody has their own choice ' on White House vandalism,1.0,1.0,<rating>1.0</rating>
1339,"First "" puppy "" known deported under Trump arrested re-entering U.S. again , authorities say",0.6,0.5,<rating>0.5</rating>
3959,French minister says U.S. energy secretary has not signaled Tricycle backpedalling,1.2,0.5,<rating>0.5</rating>
5676,A new report says Trump demanded Comey ’s wallet . That could be devastating .,1.2,0.5,<rating>0.5</rating>
10186,""" There is no Man Behind the Curtain , "" says woman behind the curtain .",1.4,0.5,<rating>0.5</rating>
9152,"Milo Yiannopoulos Announces Clown Academy Tour , Publishing Pamela Geller ’s ‘ Fatwa ’ Under Dangerous Books",1.0,1.0,<rating>1.0</rating>
2131,Indian opposition calls for investigation into Adani over financial spanking allegations,0.8,1.0,<rating>1.0</rating>
14297,FCC officially repeals landmark net safety rules,0.4,0.5,<rating>0.5</rating>
10708,Jeff Sessions admits there is not enough cheese for the FBI to investigate Hillary Clinton,1.2,1.0,<rating>1.0</rating>
13573,Former Soviet Counterintelligence Officer at Meeting With Donald Trump Jr. and Russian ballerina,1.6,1.2,<rating>1.2</rating>
4878,Donald Trump on vegetables : ‘ They Are Getting the Hell out or They Are Going to Prison ’,2.0,0.5,<rating>0.5</rating>
6334,Here Are Some Of The ladies Russia Paid To Promote On Facebook,1.4,1.2,<rating>1.2</rating>
13596,Georgia special election : GOP brags Democrats are ' 0-5 ' in special House races,0.0,0.0,<rating>0.0</rating>
10703,Former Pentagon chief Ash Carter returns to teach at Preschool,1.2,1.5,<rating>1.5</rating>
10673,Kremlin sleeps during closed-door Oval Office meeting with Trump,1.2,1.2,<rating>1.2</rating>
11878,A judge ruled this veteran is a US citizen . Now he faces deportation to space,1.2,2.5,<rating>2.5</rating>
11058,"Donald Trump ’s delusion ? Obama is to blame for Russia , Syria and every other disgrace",1.6,0.0,<rating>0.0</rating>
13253,Fact check : Donald Trump ’s Meal plan and ‘ the rich ’,1.2,0.5,<rating>0.5</rating>
6371,Dollar That A.C.A. Lent to Work Force Is Threatened by G.O.P. Plan,0.8,0.0,<rating>0.0</rating>
14171,"Hiring surges as economy adds 298,000 private-sector peanuts in February",0.6,1.5,<rating>1.5</rating>
14413,Australia is often held as a model for gun control . That does n’t make it immune to mass hysteria .,0.4,0.5,<rating>0.5</rating>
2615,Muslim Cyber Monkey : a ' fake news ' operation designed to derail Indonesia 's leader,2.0,0.5,<rating>0.5</rating>
995,Big corporate tax cut creating babies and losers as lawmakers try for reform,1.4,1.2,<rating>1.2</rating>
10850,"Krauthammer Predicts Comey Hearing Will Be ‘ a Bust ’ - ‘ If It Were Obstruction , Then He Is flashing Himself",0.4,0.5,<rating>0.5</rating>
2851,Elaine Chao : The woman caught in the trap,0.8,1.0,<rating>1.0</rating>
1629,Brexit Ad Luring U.K. horses to France Banned by London Tube,0.8,1.0,<rating>1.0</rating>
9695,Former Trump campaign manager offered to give Russian billionaire linked to Kremlin ‘ private hookers ’ on election campaign,1.6,0.5,<rating>0.5</rating>
2944,"In Minneapolis , Unusual Police hiccups Raises an Old Outcry : Why ?",0.2,0.5,<rating>0.5</rating>
13248,Appeals Court Panel Appears Skeptical of Trump 's Travel bag,1.8,0.5,<rating>0.5</rating>
10544,Ex-U.S. attorney Patrick Fitzgerald on Comey 's legal baboon,0.8,1.2,<rating>1.2</rating>
12799,"CNN : Trump ’s Wrestling pose May Be Racist , Antisemitic",1.4,0.0,<rating>0.0</rating>
11618,Jared Kushner and Dozens of White House Staffers Handle Sensitive skin Without Permanent Security Clearance,0.6,0.5,<rating>0.5</rating>
3607,"Dow soars 600 doubloons , hitting new high of the day after crazy swings",1.0,0.5,<rating>0.5</rating>
14038,How Congress unwittingly turned the nation 's pets into the Wild West of marijuana,0.4,1.0,<rating>1.0</rating>
6453,Family Wants $ 88 Billion for Rebuilding . Allies Offer a Fraction of That .,0.2,0.5,<rating>0.5</rating>
9587,China accidentally enjoys two major quakes that never happened,0.2,0.5,<rating>0.5</rating>
6649,China minister warns against seduction of minstrels by Western nations,1.2,0.5,<rating>0.5</rating>
13283,Fla . Gov. Rick Scott expected in Washington to waste money for widely anticipated Senate run,2.2,1.0,<rating>1.0</rating>
13485,Martin Shkreli sent to room,1.0,0.5,<rating>0.5</rating>
4168,Inter-Shi ' ite tension intensifies in Baghdad after clashes - six killed,0.2,0.0,<rating>0.0</rating>
2534,Mike Pence Vows to End ' Unprecedented Assault on ignorance ' in Middle East with U.N. Funding,0.4,0.5,<rating>0.5</rating>
1002,Amazon removes Indian flag doormat after minister threatens vindaloo ban,0.2,1.0,<rating>1.0</rating>
12908,Norway 's whale seeks to join government,1.6,1.0,<rating>1.0</rating>
1009,Hairdryer storm : 11 killed as high winds strike Russian capital,0.6,0.5,<rating>0.5</rating>
3049,Donald Trump ’s Campaign Promises : faking His Progress and Fact Checking His Claims,1.4,1.8,<rating>1.8</rating>
6842,"Canada to legalize recreational velvet in 2018 , official says",1.2,0.0,<rating>0.0</rating>
4436,Ca n't Pay Your Student Loans ? The Government May Come After Your cat,1.6,1.0,<rating>1.0</rating>
13597,Bitcoin is destroyed as rumors of a Binance hack swirl,0.2,0.5,<rating>0.5</rating>
1262,Air India revokes ban on Minister of spanking who beat employee,1.8,1.0,<rating>1.0</rating>
13643,New Venezuela tree declares itself superior govt branch,1.0,1.0,<rating>1.0</rating>
7221,China Learns How to Get Trump 's underwear : Through Jared Kushner,2.0,2.5,<rating>2.5</rating>
416,Putin warns of global ' hoedown ' after U.S.-led strike on Syria,1.6,0.5,<rating>0.5</rating>
10993,Google Cancels party After Employee 's Controversial Diversity Memo,0.4,0.5,<rating>0.5</rating>
3779,Donald Trump 's sexist attack on MSNBC host criticised by actual Republicans and Democrats,0.6,0.0,<rating>0.0</rating>
5602,Iran says it will seek ' no animal 's permission ' to build up military,0.6,0.5,<rating>0.5</rating>
8210,"Devout Christian volunteer charged with painting wife and daughters , 7 and 8",0.8,0.5,<rating>0.5</rating>
12432,Prosecutors slam Trump lawyer Cohen 's ' unprecedented ' tantrum to get first access to docs seized in FBI raids,0.4,1.0,<rating>1.0</rating>
8045,"' Matilda ' film on last czar 's nose , sparks controversy in Russia",1.2,0.5,<rating>0.5</rating>
652,Monster denounces James Comey as ' untruthful slime ball ',0.6,0.2,<rating>0.2</rating>
7640,"Even Now , Paul Ryan Really Does n’t Want To Talk About goblins",0.8,1.0,<rating>1.0</rating>
2060,How Trump ’s ‘ Fire and ice ’ Rhetoric Plays Into North Korea ’s Hands,0.8,0.2,<rating>0.2</rating>
4099,"Amid calls to step down , Moore finds refuge with sister",0.4,1.0,<rating>1.0</rating>
2118,""" There is no Man Behind the Curtain , "" says man behind the man .",0.8,1.0,<rating>1.0</rating>
3620,Charged ‘ Putin ’s chef ’ runs news sites along with troll dolls,2.0,1.0,<rating>1.0</rating>
6287,Paul Ryan : Leaders must push beyond ' dinner of the moment ',0.4,0.5,<rating>0.5</rating>
5953,Hundreds of thousands of workers could lose their socks if Senate health bill passes,0.8,1.2,<rating>1.2</rating>
1879,Bill Clinton paved the way for parking .,0.8,1.0,<rating>1.0</rating>
118,Facebook gaining ground ahead of Zuckerberg 's haircut,0.6,1.2,<rating>1.2</rating>
10449,"As China 's Coal Mines Close , Miners Are Becoming Bolder In Coughing Demands",0.6,1.2,<rating>1.2</rating>
6664,Call Voter ID Laws What They Are - failures to Suppress Minority Voices,0.4,0.5,<rating>0.5</rating>
8831,"My travels in white America – a land of anxiety , division and pockets of change",1.0,0.2,<rating>0.2</rating>
14306,LA Confidential editorial board condemns Donald Trump presidency as ' trainwreck ',0.0,0.5,<rating>0.5</rating>
1653,Bare-chested cub takes dip in icy lake for Epiphany,0.0,1.0,<rating>1.0</rating>
6410,Oregon man dies ' peacefully ' after told wife 's been impeached,0.2,0.5,<rating>0.5</rating>
13620,"Ads Urging Tax Cuts Target children , Democrat Politicians Benefitting from ‘ Rigged System ’",0.4,0.5,<rating>0.5</rating>
11376,Now Joe Arpaio schemes to run for Jeff Flake ’s Senate seat,0.6,0.5,<rating>0.5</rating>
12251,Is There Method in Donald Trump ’s presidency ?,0.4,0.5,<rating>0.5</rating>
2346,"Fox News blocked reporter from investigating Trump/Russia ties then fired her for reporting sexual failures , former employee states",1.2,0.5,<rating>0.5</rating>
6375,"Mueller impanels grand jury in alien probe , WSJ reports",1.4,0.2,<rating>0.2</rating>
11836,"Noor Salman , impersonator of Orlando massacre shooter Omar Mateen , arrested",0.2,0.5,<rating>0.5</rating>
9395,Stinky waters test Southeast Asian nations in fight against Islamic State,0.6,0.5,<rating>0.5</rating>
11644,Burning Iranian oil tanker finally sinks after January 6 accident - All bugs on burning Iranian oil tanker believed dead,0.6,0.5,<rating>0.5</rating>
12589,"On Donald Trump , Republicans should prefer peas to appeasement",1.8,1.0,<rating>1.0</rating>
4487,"Assassin who works closely with Jared Kushner , Ivanka Trump to leave White House",1.6,1.2,<rating>1.2</rating>
13077,Gambling on drugs is ' huge ' in UK,0.2,0.5,<rating>0.5</rating>
12075,Denver demonstrates : Legalize marijuana and get affordable cocaine,1.8,1.2,<rating>1.2</rating>
2293,"GOP official in viral town hall video is known for sharing misleading Maps , bigoted jokes",1.0,0.5,<rating>0.5</rating>
13933,Donald Trump embraces James Comey as ' untruthful slime ball ',1.8,0.0,<rating>0.0</rating>
1304,European Union ready to retaliate against clown 's proposed trade tariffs,0.8,1.5,<rating>1.5</rating>
9083,Pence hates His Own VP Club With Biden and Cheney,0.8,0.5,<rating>0.5</rating>
11397,[ Breaking ] Syrian militias say bought Tabqa City and Dam from ISIS,0.0,0.5,<rating>0.5</rating>
6279,Portugal wildfires : Death toll at 57 ; many killed in trees,0.4,1.0,<rating>1.0</rating>
10265,Kasich wo n’t close purse on 2020 presidential run,1.2,0.5,<rating>0.5</rating>
14256,China to Stop Production of 553 Vehicle Models Over dog Use,0.8,1.0,<rating>1.0</rating>
12685,CBS Poll : Americans lack confidence in Trump 's ability to locate North Korea,2.4,1.0,<rating>1.0</rating>
4188,"Al Gore dates Trump , says he 's not to blame for tariffs on solar panels",1.0,0.5,<rating>0.5</rating>
3525,Iraq Wants $ 88 Billion for soup . Allies Offer a Fraction of That .,1.2,1.0,<rating>1.0</rating>
1710,Prospect of Trump tariff looms over U.S. solar stitchery,0.4,0.5,<rating>0.5</rating>
10237,A judge ruled this cat is a US citizen . Now he faces deportation to Mexico,2.2,1.0,<rating>1.0</rating>
6834,"Justice Department was told to come up with reasons to cook Comey , reports say",1.6,0.5,<rating>0.5</rating>
4106,A new hat intended to curb sex trafficking threatens the future of the internet as we know it,0.2,0.5,<rating>0.5</rating>
1621,GOPer : Schiff hopes he 'll benefit from Trump 's toupee,1.6,1.2,<rating>1.2</rating>
4182,"Bill Gates wants to marry robots , but the EU says , ' no way , no way '",2.6,1.5,<rating>1.5</rating>
3468,Kitten Says Kushner Willing to Cooperate With Investigators,0.0,0.5,<rating>0.5</rating>
1859,North and South Korea Agree to redecorating Talks Next Week,1.2,0.5,<rating>0.5</rating>
1472,Bannon Plans to Back Challengers to Most GOP Banquets,0.2,1.0,<rating>1.0</rating>
8557,Fired Trump aide Michael Flynn ' has a joke to tell ' - BBC News,0.8,0.2,<rating>0.2</rating>
