id,edit1,edit2,mean_grade1,mean_grade2,label,expected,prediction,is_correct,raw_response
4258-13346,children,kabobs,0.8,1.8,2,B,B,True,<answer>B</answer>
1262-6688,spanking,eggs,1.8,1.6,1,A,B,False,<answer>B</answer>
1262-48,spanking,curried,1.8,0.4,1,A,B,False,<answer>B</answer>
6688-48,eggs,curried,1.6,0.4,1,A,B,False,<answer>B</answer>
10237-11878,cat,space,2.2,1.2,1,A,B,False,<answer>B</answer>
10237-8358,cat,koala,2.2,1.6,1,A,B,False,<answer>B</answer>
11878-8358,space,koala,1.2,1.6,2,B,B,True,<answer>B</answer>
14120-8847,bear,tides,0.8,0.2,1,A,B,False,<answer>B</answer>
14120-12935,bear,sneak,0.8,1.0,2,B,B,True,<answer>B</answer>
8847-12935,tides,sneak,0.2,1.0,2,B,B,True,<answer>B</answer>
14237-3365,thigh,gender,1.6,0.4,1,A,B,False,<answer>B</answer>
14237-11633,thigh,cheesecake,1.6,0.2,1,A,B,False,<answer>B</answer>
3365-11633,gender,cheesecake,0.4,0.2,1,A,B,False,<answer>B</answer>
4188-2366,dates,bikinis,1.0,1.4,2,B,B,True,<answer>B</answer>
4188-7994,dates,pumpkin,1.0,0.6,1,A,B,False,<answer>B</answer>
2366-7994,bikinis,pumpkin,1.4,0.6,1,A,B,False,<answer>B</answer>
11195-1881,puppies,duck,1.0,0.6,1,A,B,False,<answer>B</answer>
11195-14116,puppies,pennies,1.0,2.2,2,B,B,True,<answer>B</answer>
1881-14116,duck,pennies,0.6,2.2,2,B,B,True,<answer>B</answer>
4082-1002,samosa,vindaloo,0.6,0.2,1,A,B,False,<answer>B</answer>
4082-4511,samosa,accepts,0.6,0.2,1,A,A,True,<answer>A</answer>
10247-6063,lobby,wear,0.6,1.4,2,B,B,True,<answer>B</answer>
10247-14123,lobby,hoodlums,0.6,1.4,2,B,B,True,<answer>B</answer>
2692-11792,mouth,hair,1.6,2.0,2,B,B,True,<answer>B</answer>
2692-8377,mouth,aftershave,1.6,1.4,1,A,B,False,<answer>B</answer>
11792-8377,hair,aftershave,2.0,1.4,1,A,B,False,<answer>B</answer>
8934-550,space,whine,0.4,1.4,2,B,B,True,<answer>B</answer>
550-15046,whine,drug,1.4,0.4,1,A,A,True,<answer>A</answer>
3267-13866,marketing,insomnia,1.4,0.8,1,A,B,False,<answer>B</answer>
3267-14704,marketing,milk,1.4,0.4,1,A,B,False,<answer>B</answer>
13866-14704,insomnia,milk,0.8,0.4,1,A,B,False,<answer>B</answer>
8688-1405,chocolate,comet,2.0,0.6,1,A,B,False,<answer>B</answer>
8688-9673,chocolate,boredom,2.0,2.4,2,B,B,True,<answer>B</answer>
1405-9673,comet,boredom,0.6,2.4,2,B,B,True,<answer>B</answer>
12968-219,dowser,Polka,0.0,1.2,2,B,B,True,<answer>B</answer>
12968-4099,dowser,sister,0.0,0.4,2,B,A,False,<answer>A</answer>
219-4099,Polka,sister,1.2,0.4,1,A,A,True,<answer>A</answer>
14009-7194,party,farm,0.0,0.6,2,B,B,True,<answer>B</answer>
14009-252,party,Intestinal,0.0,0.2,2,B,B,True,<answer>B</answer>
7194-252,farm,Intestinal,0.6,0.2,1,A,B,False,<answer>B</answer>
3981-12175,rational,letters,0.8,0.6,1,A,B,False,<answer>B</answer>
3981-7111,rational,thermostat,0.8,1.2,2,B,B,True,<answer>B</answer>
12175-7111,letters,thermostat,0.6,1.2,2,B,B,True,<answer>B</answer>
6676-9897,warthog,hamburger,0.6,1.4,2,B,B,True,<answer>B</answer>
6676-164,warthog,dungeon,0.6,1.6,2,B,B,True,<answer>B</answer>
9897-164,hamburger,dungeon,1.4,1.6,2,B,B,True,<answer>B</answer>
12184-4106,milk,hat,1.2,0.2,1,A,B,False,<answer>B</answer>
6153-4106,cheesecake,hat,1.2,0.2,1,A,B,False,<answer>B</answer>
5676-13134,wallet,pizza,1.2,2.4,2,B,A,False,<answer>A</answer>
5676-2425,wallet,lunch,1.2,1.4,2,B,A,False,<answer>A</answer>
13134-2425,pizza,lunch,2.4,1.4,1,A,A,True,<answer>A</answer>
4637-4472,braggart,dyspepsia,0.6,0.4,1,A,B,False,<answer>B</answer>
4637-10423,braggart,belching,0.6,1.6,2,B,B,True,<answer>B</answer>
4472-10423,dyspepsia,belching,0.4,1.6,2,B,B,True,<answer>B</answer>
15022-541,Lasagna,daycare,1.2,0.8,1,A,B,False,<answer>B</answer>
15022-7819,Lasagna,constructions,1.2,1.0,1,A,B,False,<answer>B</answer>
541-7819,daycare,constructions,0.8,1.0,2,B,B,True,<answer>B</answer>
10541-12683,Exercise,Children,2.2,0.6,1,A,A,True,<answer>A</answer>
10541-171,Exercise,Husband,2.2,1.0,1,A,B,False,<answer>B</answer>
12683-171,Children,Husband,0.6,1.0,2,B,B,True,<answer>B</answer>
7031-13926,singers,friends,0.2,0.0,1,A,B,False,<answer>B</answer>
7031-10037,singers,turkeys,0.2,1.0,2,B,B,True,<answer>B</answer>
13926-10037,friends,turkeys,0.0,1.0,2,B,B,True,<answer>B</answer>
1101-12969,pies,balls,1.6,0.8,1,A,B,False,<answer>B</answer>
1101-10895,pies,stole,1.6,1.0,1,A,B,False,<answer>B</answer>
12969-10895,balls,stole,0.8,1.0,2,B,B,True,<answer>B</answer>
5734-10144,diamonds,pancakes,0.4,0.2,1,A,B,False,<answer>B</answer>
5734-5238,diamonds,laziness,0.4,0.6,2,B,B,True,<answer>B</answer>
10144-5238,pancakes,laziness,0.2,0.6,2,B,B,True,<answer>B</answer>
12377-1200,gamblers,bologna,0.8,1.4,2,B,B,True,<answer>B</answer>
12377-12085,gamblers,pets,0.8,0.4,1,A,B,False,<answer>B</answer>
1200-12085,bologna,pets,1.4,0.4,1,A,B,False,<answer>B</answer>
13072-14501,kittens,pineapple,0.6,0.2,1,A,B,False,<answer>B</answer>
13072-8053,kittens,refundable,0.6,0.8,2,B,B,True,<answer>B</answer>
14501-8053,pineapple,refundable,0.2,0.8,2,B,B,True,<answer>B</answer>
2650-3817,parties,importation,1.2,0.4,1,A,B,False,<answer>B</answer>
2650-5846,parties,Criminal,1.2,0.2,1,A,B,False,<answer>B</answer>
3817-5846,importation,Criminal,0.4,0.2,1,A,B,False,<answer>B</answer>
52-13248,male,bag,0.2,1.8,2,B,B,True,<answer>B</answer>
52-11992,male,deodorant,0.2,2.0,2,B,B,True,<answer>B</answer>
13248-11992,bag,deodorant,1.8,2.0,2,B,B,True,<answer>B</answer>
7261-9190,mop,Diary,0.6,0.0,1,A,A,True,<answer>A</answer>
7261-10774,mop,Pretzel,0.6,0.4,1,A,B,False,<answer>B</answer>
9190-10774,Diary,Pretzel,0.0,0.4,2,B,B,True,<answer>B</answer>
9595-6163,quarterback,whites,1.0,1.4,2,B,B,True,<answer>B</answer>
9595-385,quarterback,clowns,1.0,0.8,1,A,B,False,<answer>B</answer>
6163-385,whites,clowns,1.4,0.8,1,A,B,False,<answer>B</answer>
6332-12643,Teasing,falafel,1.0,1.4,2,B,B,True,<answer>B</answer>
6332-14788,Teasing,pizza,1.0,1.2,2,B,B,True,<answer>B</answer>
12643-14788,falafel,pizza,1.4,1.2,1,A,B,False,<answer>B</answer>
10449-14087,Coughing,Singers,0.6,1.0,2,B,B,True,<answer>B</answer>
10449-5706,Coughing,kitties,0.6,1.2,2,B,B,True,<answer>B</answer>
14087-5706,Singers,kitties,1.0,1.2,2,B,B,True,<answer>B</answer>
1292-13015,dinner,noses,1.6,0.6,1,A,B,False,<answer>B</answer>
1292-15059,dinner,pizza,1.6,2.0,2,B,B,True,<answer>B</answer>
13015-15059,noses,pizza,0.6,2.0,2,B,B,True,<answer>B</answer>
5835-4652,super,graveyard,0.4,0.6,2,B,B,True,<answer>B</answer>
5835-13184,super,trains,0.4,0.2,1,A,B,False,<answer>B</answer>
4652-13184,graveyard,trains,0.6,0.2,1,A,B,False,<answer>B</answer>
14118-13310,Smelly,Robot,1.6,0.6,1,A,A,True,<answer>A</answer>
14118-11077,Smelly,actuality,1.6,0.2,1,A,A,True,<answer>A</answer>
13310-11077,Robot,actuality,0.6,0.2,1,A,A,True,<answer>A</answer>
7688-11477,fiesta,monarchy,0.8,0.0,1,A,B,False,<answer>B</answer>
11477-4918,monarchy,farce,0.0,0.8,2,B,B,True,<answer>B</answer>
2502-3610,Eat,Heckle,0.6,0.8,2,B,B,True,<answer>B</answer>
13865-3610,zombie,Heckle,0.6,0.8,2,B,B,True,<answer>B</answer>
7374-13163,romance,marshmallow,0.6,0.8,2,B,B,True,<answer>B</answer>
7374-9747,romance,deficiency,0.6,0.2,1,A,B,False,<answer>B</answer>
13163-9747,marshmallow,deficiency,0.8,0.2,1,A,A,True,<answer>A</answer>
2724-7267,church,movie,0.8,0.6,1,A,B,False,<answer>B</answer>
2724-9876,church,dancing,0.8,1.8,2,B,B,True,<answer>B</answer>
7267-9876,movie,dancing,0.6,1.8,2,B,B,True,<answer>B</answer>
12741-5895,room,Tractors,0.2,0.8,2,B,B,True,<answer>B</answer>
12741-13915,room,cows,0.2,1.0,2,B,B,True,<answer>B</answer>
5895-13915,Tractors,cows,0.8,1.0,2,B,B,True,<answer>B</answer>
69-14413,birth,hysteria,0.6,0.4,1,A,B,False,<answer>B</answer>
14413-14660,hysteria,portion,0.4,0.6,2,B,B,True,<answer>B</answer>
9719-6187,thrill,Martians,0.8,1.0,2,B,B,True,<answer>B</answer>
9719-7894,thrill,snowballs,0.8,1.0,2,B,B,True,<answer>B</answer>
10227-14082,cord,nail,0.6,0.0,1,A,B,False,<answer>B</answer>
7878-14082,removal,nail,0.6,0.0,1,A,B,False,<answer>B</answer>
6686-2942,ate,Neutered,0.8,0.6,1,A,B,False,<answer>B</answer>
6686-11178,ate,molested,0.8,1.6,2,B,B,True,<answer>B</answer>
2942-11178,Neutered,molested,0.6,1.6,2,B,A,False,<answer>A</answer>
3990-9820,pencil,escapes,0.2,0.6,2,B,B,True,<answer>B</answer>
3990-6113,pencil,Princess,0.2,0.6,2,B,B,True,<answer>B</answer>
8273-10393,fakes,gorilla,0.6,0.8,2,B,B,True,<answer>B</answer>
8273-11505,fakes,Fanatics,0.6,0.8,2,B,B,True,<answer>B</answer>
7006-5991,produced,sings,0.2,1.0,2,B,B,True,<answer>B</answer>
1472-3242,Banquets,clone,0.2,2.0,2,B,B,True,<answer>B</answer>
1472-158,Banquets,smack,0.2,0.6,2,B,B,True,<answer>B</answer>
3242-158,clone,smack,2.0,0.6,1,A,B,False,<answer>B</answer>
14600-2885,excuse,onions,0.4,0.2,1,A,B,False,<answer>B</answer>
13380-2885,fruit,onions,0.4,0.2,1,A,B,False,<answer>B</answer>
11630-1653,shrinkage,cub,0.8,0.0,1,A,B,False,<answer>B</answer>
11630-2094,shrinkage,notes,0.8,0.2,1,A,A,True,<answer>A</answer>
1653-2094,cub,notes,0.0,0.2,2,B,B,True,<answer>B</answer>
9356-7822,makeup,kangaroo,1.8,1.2,1,A,B,False,<answer>B</answer>
9356-3457,makeup,mattress,1.8,0.6,1,A,B,False,<answer>B</answer>
7822-3457,kangaroo,mattress,1.2,0.6,1,A,B,False,<answer>B</answer>
402-7839,amputation,fear,1.2,0.6,1,A,A,True,<answer>A</answer>
175-7839,braids,fear,1.2,0.6,1,A,B,False,<answer>B</answer>
7827-5332,cows,mosquitos,1.5,1.8,2,B,B,True,<answer>B</answer>
12811-9168,sneakers,irony,0.0,0.8,2,B,B,True,<answer>B</answer>
12811-10202,sneakers,laughing,0.0,1.0,2,B,B,True,<answer>B</answer>
9168-10202,irony,laughing,0.8,1.0,2,B,B,True,<answer>B</answer>
1049-9276,heads,smoke,2.6,1.2,1,A,B,False,<answer>B</answer>
2086-5202,birthing,cats,0.0,0.2,2,B,B,True,<answer>B</answer>
2086-1831,birthing,overturning,0.0,0.4,2,B,B,True,<answer>B</answer>
5202-1831,cats,overturning,0.2,0.4,2,B,A,False,<answer>A</answer>
12921-3673,pacifier,complained,0.2,1.2,2,B,B,True,<answer>B</answer>
12921-9073,pacifier,bike,0.2,0.4,2,B,B,True,<answer>B</answer>
3673-9073,complained,bike,1.2,0.4,1,A,B,False,<answer>B</answer>
5865-9224,bagels,shrubbery,1.0,1.6,2,B,A,False,<answer>A</answer>
5865-4201,bagels,students,1.0,0.4,1,A,A,True,<answer>A</answer>
9224-4201,shrubbery,students,1.6,0.4,1,A,B,False,<answer>B</answer>
8-762,allusion,Toy,0.4,1.4,2,B,B,True,<answer>B</answer>
8-9614,allusion,dress,0.4,1.2,2,B,B,True,<answer>B</answer>
762-9614,Toy,dress,1.4,1.2,1,A,B,False,<answer>B</answer>
8496-3497,clown,botch,0.8,1.4,2,B,B,True,<answer>B</answer>
12286-3497,drinking,botch,0.8,1.4,2,B,B,True,<answer>B</answer>
7993-2677,camels,vampires,0.8,2.4,2,B,B,True,<answer>B</answer>
7993-10548,camels,humans,0.8,0.0,1,A,B,False,<answer>B</answer>
2677-10548,vampires,humans,2.4,0.0,1,A,A,True,<answer>A</answer>
1089-10836,guts,meatloaf,1.2,2.6,2,B,B,True,<answer>B</answer>
1089-11869,guts,faces,1.2,1.6,2,B,A,False,<answer>A</answer>
10836-11869,meatloaf,faces,2.6,1.6,1,A,A,True,<answer>A</answer>
10927-13293,penguin,Grandmother,1.2,2.0,2,B,A,False,<answer>A</answer>
10927-8612,penguin,avatar,1.2,1.0,1,A,A,True,<answer>A</answer>
13293-8612,Grandmother,avatar,2.0,1.0,1,A,B,False,<answer>B</answer>
13904-10045,Koalas,Devil,1.8,1.4,1,A,B,False,<answer>B</answer>
13904-8205,Koalas,Kangaroos,1.8,2.2,2,B,B,True,<answer>B</answer>
10045-8205,Devil,Kangaroos,1.4,2.2,2,B,B,True,<answer>B</answer>
13226-716,pocketbook,beauticians,0.6,1.2,2,B,B,True,<answer>B</answer>
716-10717,beauticians,actors,1.2,0.6,1,A,B,False,<answer>B</answer>
2752-11826,toupees,hats,1.0,0.6,1,A,B,False,<answer>B</answer>
2752-5082,toupees,media,1.0,0.8,1,A,A,True,<answer>A</answer>
11826-5082,hats,media,0.6,0.8,2,B,A,False,<answer>A</answer>
995-6696,babies,Hair,1.4,1.0,1,A,B,False,<answer>B</answer>
995-3417,babies,recollection,1.4,0.0,1,A,B,False,<answer>B</answer>
6696-3417,Hair,recollection,1.0,0.0,1,A,A,True,<answer>A</answer>
9352-1743,Swim,fish,0.8,1.4,2,B,B,True,<answer>B</answer>
9352-2755,Swim,ski,0.8,1.6,2,B,B,True,<answer>B</answer>
1743-2755,fish,ski,1.4,1.6,2,B,B,True,<answer>B</answer>
5643-1879,drive,parking,1.2,0.8,1,A,A,True,<answer>A</answer>
7865-1879,porch,parking,1.2,0.8,1,A,A,True,<answer>A</answer>
4182-13383,marry,dress,2.6,2.4,1,A,A,True,<answer>A</answer>
4182-14681,marry,robot,2.6,1.0,1,A,B,False,<answer>B</answer>
13383-14681,dress,robot,2.4,1.0,1,A,B,False,<answer>B</answer>
2816-8372,buffoon,fight,1.8,0.2,1,A,A,True,<answer>A</answer>
2816-5407,buffoon,foot,1.8,0.4,1,A,B,False,<answer>B</answer>
8372-5407,fight,foot,0.2,0.4,2,B,B,True,<answer>B</answer>
3841-13597,marriage,destroyed,0.6,0.2,1,A,A,True,<answer>A</answer>
3841-7975,marriage,party,0.6,0.8,2,B,A,False,<answer>A</answer>
13597-7975,destroyed,party,0.2,0.8,2,B,B,True,<answer>B</answer>
3399-14085,tickling,Virus,1.0,0.6,1,A,B,False,<answer>B</answer>
14085-10732,Virus,Polka,0.6,1.0,2,B,B,True,<answer>B</answer>
10264-7668,typography,disaster,0.4,1.2,2,B,B,True,<answer>B</answer>
10264-3869,typography,Year,0.4,0.2,1,A,B,False,<answer>B</answer>
7668-3869,disaster,Year,1.2,0.2,1,A,B,False,<answer>B</answer>
2578-13364,scapegoat,pet,0.8,0.6,1,A,B,False,<answer>B</answer>
2578-6023,scapegoat,Marshmallow,0.8,1.4,2,B,B,True,<answer>B</answer>
13364-6023,pet,Marshmallow,0.6,1.4,2,B,B,True,<answer>B</answer>
6951-10035,cactus,Brick,0.2,0.0,1,A,A,True,<answer>A</answer>
10035-2539,Brick,aliens,0.0,0.2,2,B,B,True,<answer>B</answer>
12401-9378,afternoon,Eon,0.6,1.0,2,B,B,True,<answer>B</answer>
7353-9378,republicans,Eon,0.6,1.0,2,B,B,True,<answer>B</answer>
5321-13164,reality,vandalism,0.8,1.0,2,B,B,True,<answer>B</answer>
5321-10357,reality,stapler,0.8,1.4,2,B,B,True,<answer>B</answer>
13164-10357,vandalism,stapler,1.0,1.4,2,B,B,True,<answer>B</answer>
13477-14723,Garden,kangaroo,0.2,1.6,2,B,B,True,<answer>B</answer>
13477-1832,Garden,kitten,0.2,0.4,2,B,B,True,<answer>B</answer>
14723-1832,kangaroo,kitten,1.6,0.4,1,A,B,False,<answer>B</answer>
1596-13251,Boob,syrup,0.2,0.8,2,B,B,True,<answer>B</answer>
1596-1629,Boob,horses,0.2,0.8,2,B,B,True,<answer>B</answer>
397-5762,marriage,headache,0.2,0.8,2,B,B,True,<answer>B</answer>
12775-5762,split,headache,0.2,0.8,2,B,B,True,<answer>B</answer>
6504-135,fangirl,dancing,1.0,1.4,2,B,B,True,<answer>B</answer>
6504-11662,fangirl,cheese,1.0,0.6,1,A,B,False,<answer>B</answer>
135-11662,dancing,cheese,1.4,0.6,1,A,B,False,<answer>B</answer>
13249-483,bartender,potatoes,0.2,1.2,2,B,B,True,<answer>B</answer>
13249-11036,bartender,potatos,0.2,1.4,2,B,B,True,<answer>B</answer>
483-11036,potatoes,potatos,1.2,1.4,2,B,B,True,<answer>B</answer>
6166-13196,tickets,saving,0.2,1.4,2,B,B,True,<answer>B</answer>
6166-10988,tickets,buzz,0.2,2.4,2,B,B,True,<answer>B</answer>
13196-10988,saving,buzz,1.4,2.4,2,B,B,True,<answer>B</answer>
5016-7028,spaghetti,dog,1.2,1.4,2,B,B,True,<answer>B</answer>
5016-13575,spaghetti,deleted,1.2,1.0,1,A,A,True,<answer>A</answer>
7028-13575,dog,deleted,1.4,1.0,1,A,B,False,<answer>B</answer>
11644-13658,bugs,Missing,0.6,0.2,1,A,B,False,<answer>B</answer>
11644-4321,bugs,fried,0.6,0.2,1,A,B,False,<answer>B</answer>
9762-6735,weed,cremated,1.0,1.4,2,B,B,True,<answer>B</answer>
9762-11092,weed,burns,1.0,1.6,2,B,B,True,<answer>B</answer>
6735-11092,cremated,burns,1.4,1.6,2,B,B,True,<answer>B</answer>
10168-1877,hair,signing,1.6,1.4,1,A,A,True,<answer>A</answer>
10168-3662,hair,Donut,1.6,0.4,1,A,A,True,<answer>A</answer>
1877-3662,signing,Donut,1.4,0.4,1,A,B,False,<answer>B</answer>
9210-5031,vomits,prances,1.2,1.8,2,B,B,True,<answer>B</answer>
5031-351,prances,dances,1.8,1.2,1,A,B,False,<answer>B</answer>
12541-9078,strangles,skateboarding,2.2,0.8,1,A,B,False,<answer>B</answer>
12541-4089,strangles,fire,2.2,0.0,1,A,B,False,<answer>B</answer>
9078-4089,skateboarding,fire,0.8,0.0,1,A,B,False,<answer>B</answer>
4884-5007,doghouses,leaves,1.0,0.0,1,A,B,False,<answer>B</answer>
4884-6017,doghouses,children,1.0,0.6,1,A,A,True,<answer>A</answer>
5007-6017,leaves,children,0.0,0.6,2,B,B,True,<answer>B</answer>
11791-2732,remote,pest,0.6,1.0,2,B,B,True,<answer>B</answer>
12524-2732,cruise,pest,0.6,1.0,2,B,B,True,<answer>B</answer>
6664-2159,failures,Ghostly,0.4,1.2,2,B,B,True,<answer>B</answer>
6664-8162,failures,Falsetto,0.4,2.6,2,B,B,True,<answer>B</answer>
2159-8162,Ghostly,Falsetto,1.2,2.6,2,B,B,True,<answer>B</answer>
14521-8605,Minion,Degree,0.8,1.6,2,B,B,True,<answer>B</answer>
14521-4436,Minion,cat,0.8,1.6,2,B,B,True,<answer>B</answer>
6920-6842,smoke,velvet,1.0,1.2,2,B,B,True,<answer>B</answer>
6920-2509,smoke,fishing,1.0,0.8,1,A,B,False,<answer>B</answer>
6842-2509,velvet,fishing,1.2,0.8,1,A,B,False,<answer>B</answer>
12102-7578,double,recipe,0.0,0.4,2,B,B,True,<answer>B</answer>
12102-1366,double,insanity,0.0,0.8,2,B,B,True,<answer>B</answer>
7578-1366,recipe,insanity,0.4,0.8,2,B,B,True,<answer>B</answer>
6841-168,libido,Tide,2.0,1.0,1,A,A,True,<answer>A</answer>
6841-3053,libido,moon,2.0,1.6,1,A,B,False,<answer>B</answer>
168-3053,Tide,moon,1.0,1.6,2,B,B,True,<answer>B</answer>
10720-4042,rap,search,2.2,0.6,1,A,B,False,<answer>B</answer>
10720-6722,rap,tap,2.2,1.0,1,A,B,False,<answer>B</answer>
4042-6722,search,tap,0.6,1.0,2,B,B,True,<answer>B</answer>
7245-4662,abyss,viewing,0.4,0.6,2,B,B,True,<answer>B</answer>
7245-7868,abyss,Circus,0.4,1.2,2,B,B,True,<answer>B</answer>
4662-7868,viewing,Circus,0.6,1.2,2,B,B,True,<answer>B</answer>
6894-13426,squab,pack,0.4,0.6,2,B,B,True,<answer>B</answer>
6894-1480,squab,Cult,0.4,0.6,2,B,B,True,<answer>B</answer>
13732-134,dozens,sausage,0.2,0.4,2,B,B,True,<answer>B</answer>
