chosen,rejected,score_chosen,score_rejected,is_correct
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",I'll accept the 'fat fingers' excuse for typos but if you fuck up your/you're I'm going to need to see a doctor's note explaining your IQ.,1.3906,-2.7812,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",I work at a women's shoe store. Sometimes I tie the laces together... Bitches be trippin' haha,1.3906,-2.5156,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",Why did Sally fall of the swing? She had no arms. Knock knock (Reader says who's there) Not Sally.,1.3906,-1.4453,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",me: [rushing to a flipped over car] oh my god are you okay white girl: save-[cough] save the ukelele,1.3906,-4.0625,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",Why don't vampires bet on horses? They can't handle the stakes.,1.3906,-2.8594,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",Why don't feminists work cash registers? They can't make change.,1.3906,-0.6406,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",How many feminists does it take to screw in a lightbulb? DO IT YOURSELF YOU FILTHY MAN!,1.3906,-5.875,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it","My sex change from male to female went really well. It was so successful, I'm still trying to reverse out of the fucking hospital car park!",1.3906,-3.3594,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",What did the Muslim bring to the Holiday party? Falafel and hummus.,1.3906,-5.0625,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",What do they call pita bread in Mexico? Pita pan,1.3906,-4.3438,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",How sad to hear about mem fox . She is my boys favorite author. I guess possum magic is too extremist? Or 10 fingers and toes too diverse?,1.3906,-4.75,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",I really want to buy one of those grocery checkout dividers. But the lady behind the counter keeps putting it back.,1.3906,-4.25,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",What are rich people called in Japan? Milyennaires,1.3906,-4.4688,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",A Mexican got injured during a game of golf and needed stitches. I guess it was a hole in Juan.,1.3906,-6.625,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",What do a coffee shop and a Japanese castle siege have in common? Baristas,1.3906,2.9531,False
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",me: i was attacked by ninjas- doctor: says here you kicked a target cement sphere to see if it would bounce,1.3906,2.875,False
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",*In job interview* And what would you say is your best quality. *I silently stand and start moving chairs to make room to do the splits*,1.3906,-7.125,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",How many Jews does it take to change a lightbulb? None. They can shower in the dark.,1.3906,-5.7188,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it","Your first instinct is gonna to be to spell ""leopard"" and ""deaf"" correctly. You're going to want to resist that.  Best band manager ever.",1.3906,-3.2656,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",I owned a wife beater once. I can't believe I let someone else have all the fun! haha,1.3906,-2.2188,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",I'm not one of those people who claps when the airplane lands... what I do is I let out a short scream because the wheels hitting the pavement usually startles me,1.3906,1.8516,False
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",Why was the white biologist considered racist? Because he wanted to preserve his culture h,1.3906,1.2422,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it","What do you call a Mexican midget? A paragraph, cause they're to short to be an essay!!!",1.3906,-2.0,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",wanna crazy your crazy? try killing a fly while carrying on a serious conversation.,1.3906,-2.2188,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",What do you call a group of homosexual musicians from India who never get to play out? A Gay Raj band,1.3906,1.7891,False
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it","Two teenagers knocked on my door and then ran away, so I chased them down the street and down a dark alley where they beat me up and stole my wallet.",1.3906,-1.75,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",Me feeling overwhelmingly sad: *goes off somewhere to be alone and cry* Me feeling overwhelmingly happy: *goes off somewhere to be alone and cry* Feelings are confusing,1.3906,-0.0469,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it","When I get heavier, I am actually easier to pick up. What am I? A woman",1.3906,2.7656,False
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",I bet Americans can't wait for Halloween. They put the 'eating' in Trick or Treating.,1.3906,-4.0938,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",What are Jehova Witnesses called in Chinese? Ding Dong!,1.3906,-8.5625,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",There was a four-car reck in Mexico today... 93 people died,1.3906,-1.9688,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",Hv trouble accepting help/support? Feel bottled up inside and ready to blow? Suffering in silence? You're probably a classic Strong Black Woman,1.3906,1.0469,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",How do you know when your girlfriend is getting fat? She can fit into your wife's clothes,1.3906,2.1562,False
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it","If you think vests come in 2 different styles Bullet proof and suicide, you may be muslim",1.3906,0.7852,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",What does a lesbian couple do for fun while they're having their periods? Fingerpaint!,1.3906,-4.6875,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it","Old people, when you say ""the good ol' days,"" do you mean during the draft, or when black people had separate bathrooms?",1.3906,-0.5312,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it","A cobweb is just a spiderweb that has bacon, hard-boiled egg, and cheese in it.",1.3906,-3.7031,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it","Scientist: our large brains are what allows us to survive so successfully 10,000 Year Old Tree: k",1.3906,3.4375,False
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",The hardest decision to make at midnight on New Year's Eve is what room of the house you want to hide and cry in.,1.3906,-6.1562,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",WIFE: Hey why are all our potatoes dressed in tiny outfits and arranged in a little scene? ME: [hiding Photato Album] Why? Do you like it?,1.3906,-6.1562,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it","Although, I've noticed a lot of Jews taking offence to 'Wu Ping Cough' on behalf of the Chinese... Ok then, Holocough it is.",1.4062,-2.1562,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",This joke is so dark that I hope it doesn't get shot by the police.,1.4062,-4.3125,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it","I asked a Chinese girl for her number and she said... Sex! Sex! Sex! Free sex tonigh! I thought it was a guaranteed fuck until her friend said, ""She means 666-3629.""",1.4062,-2.0469,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it","The hot chick I hooked up with last night must be a Berny Sanders fan... Because when I went to go pee, I could feel the burn.",1.4062,-2.25,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",My Grandfather was one of those Unorthodox Jews. He was a Nazi.,1.4062,-0.1816,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",What happened after the ugly man married the beautiful blonde? They had a wedding reception.,1.4062,-2.0938,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it","this valentines day, remember that mark zuckerberg sees every nude you send through facebook messenger with his empty fish eyes",1.4062,-1.7734,True
Don't you just hate it when the guy sucking you off turns out to be gay,How did 1940's German Men pick up Jewish Girls With a broom and a dustpan,1.9219,-2.1719,True
Don't you just hate it when the guy sucking you off turns out to be gay,"""Y dnt u Muslims tell ISIS to stop"" Ok hold up *pulls out iphone* ""Yo ISIS habibi,its me plz stop"" ISIS:""ok habibi sorry,shisha tonight?""",1.9219,-2.0781,True
I go to the doctor and he asks for a stool sample. I pull out a small chair from my bag. The doctor yells at me for wasting his time and kicks me out of his office. I go home still not knowing why I'm shitting furniture. My nightmare continues.,Don't you just hate it when the guy sucking you off turns out to be gay,-4.375,1.9219,False
Don't you just hate it when the guy sucking you off turns out to be gay,I busted my nose earlier today... I suppose women can call the aftermath a hot mess.,1.9219,-3.1875,True
Don't you just hate it when the guy sucking you off turns out to be gay,A black man is speeding down the motorway and he dies. How? He sticks his head out of the window and his lips beat him to death.,1.9219,-3.2969,True
"I picked up a hitchiker last night. He said ""thanks but how do you know I'm not a serial killer?"" I replied ""the chances of two serial killers being in the same car are astronomical""",Don't you just hate it when the guy sucking you off turns out to be gay,-1.7188,1.9219,False
Don't you just hate it when the guy sucking you off turns out to be gay,What did the Muslim bring to the Holiday party? Falafel and hummus.,1.9219,-5.0625,True
Don't you just hate it when the guy sucking you off turns out to be gay,How sad to hear about mem fox . She is my boys favorite author. I guess possum magic is too extremist? Or 10 fingers and toes too diverse?,1.9219,-4.7812,True
Don't you just hate it when the guy sucking you off turns out to be gay,What do a coffee shop and a Japanese castle siege have in common? Baristas,1.9219,2.9375,False
Don't you just hate it when the guy sucking you off turns out to be gay,How many Jews does it take to change a lightbulb? None. They can shower in the dark.,1.8672,-5.7188,True
Don't you just hate it when the guy sucking you off turns out to be gay,"Your first instinct is gonna to be to spell ""leopard"" and ""deaf"" correctly. You're going to want to resist that.  Best band manager ever.",1.8672,-3.25,True
"My wife is doing a sponsored parachute jump tomorrow and I am genuinely terrified that the chute won't open. The last time something that big hit the earth, the fucking dinosaurs got wiped out.",Don't you just hate it when the guy sucking you off turns out to be gay,-4.125,1.875,False
Don't you just hate it when the guy sucking you off turns out to be gay,"A cobweb is just a spiderweb that has bacon, hard-boiled egg, and cheese in it.",1.8672,-3.7656,True
"A man who pretends to be rich in order to attract pretty, young women is not a ""Sugar Daddy"". He's an artificial sweetner.",Don't you just hate it when the guy sucking you off turns out to be gay,-3.375,1.875,False
Don't you just hate it when the guy sucking you off turns out to be gay,What happened after the ugly man married the beautiful blonde? They had a wedding reception.,1.8672,-2.0469,True
"I'm a recovering alcoholic... And by that, I mean I'm hungover.",How did 1940's German Men pick up Jewish Girls With a broom and a dustpan,-1.3594,-2.0312,True
"I'm a recovering alcoholic... And by that, I mean I'm hungover.",police sketch artist: not you again me: it was real this time i promise police sketch artist: ok describe his face me: he had the eyes of a man who burgled ham police sketch artist: god damnit,-1.3594,-3.9219,True
"I'm a recovering alcoholic... And by that, I mean I'm hungover.","""Y dnt u Muslims tell ISIS to stop"" Ok hold up *pulls out iphone* ""Yo ISIS habibi,its me plz stop"" ISIS:""ok habibi sorry,shisha tonight?""",-1.3594,-2.1094,True
"I'm a recovering alcoholic... And by that, I mean I'm hungover.",Why are most Muslims broke all the time? They never understood the concept of piggy banks.,-1.3594,-2.3125,True
"I'm a recovering alcoholic... And by that, I mean I'm hungover.",What's black and white and red all over and can't get through a revolving door? A nun with a spear through her head.,-1.3594,-2.9062,True
"I'm a recovering alcoholic... And by that, I mean I'm hungover.",I busted my nose earlier today... I suppose women can call the aftermath a hot mess.,-1.3594,-3.2188,True
"I'm a recovering alcoholic... And by that, I mean I'm hungover.",A black man is speeding down the motorway and he dies. How? He sticks his head out of the window and his lips beat him to death.,-1.3594,-3.2812,True
"I'm a recovering alcoholic... And by that, I mean I'm hungover.","My girlfriend told me that if I ever cheated on her, it would be worse if it was with a black girl. I told her she was wrong. It'd only be three-fifths as bad.",-1.3594,-1.6484,True
"I'm a recovering alcoholic... And by that, I mean I'm hungover.","ME: Being a scientist is just asking questions. So, in a way, we're all scientists. ACTUAL SCIENTIST: No. Becoming a scientist requires years of- ME: Looking up at the stars in wonderment. I hear you, respected peer.",-1.3594,-2.2812,True
"I'm a recovering alcoholic... And by that, I mean I'm hungover.","In an effort to be sexier for my wife, I figured I'd pluck 60% of my chest hair... 3 of the 5.",-1.3594,-1.3984,True
"I'm a recovering alcoholic... And by that, I mean I'm hungover.",What do you call a Mexican dessert that won't sink? Flanboyant,-1.4219,-2.6562,True
"I'm a recovering alcoholic... And by that, I mean I'm hungover.",Just watched the trailer to Onward ... it's a father- son story?! I'm not ready. Need to find a way to watch it but not in front of Vanessa cause I'm def gonna be crying. Maybe I should fake an allergy,-1.4219,2.5625,False
"I'm a recovering alcoholic... And by that, I mean I'm hungover.",What do you call a black person on the moon? A problem What do you call all black people on the moon? A solution,-1.4219,-1.1172,False
"I'm a recovering alcoholic... And by that, I mean I'm hungover.","Anyone remember the joke about the dwarf? Can't think right now, should be easy to remember, it was only a short one.",-1.4219,-0.3125,False
"I'm a recovering alcoholic... And by that, I mean I'm hungover.","Before going to the hairdressers my wife asked me ""What cut do you think would make me more attractive"" ""A fucking power cut"".... was apparently was the wrong answer!",-1.4219,-2.9062,True
"I'm a recovering alcoholic... And by that, I mean I'm hungover.",Why did Sally fall of the swing? She had no arms. Knock knock (Reader says who's there) Not Sally.,-1.4219,-1.4453,True
"I'm a recovering alcoholic... And by that, I mean I'm hungover.",Why don't feminists work cash registers? They can't make change.,-1.4219,-0.6406,False
"I'm a recovering alcoholic... And by that, I mean I'm hungover.",How many feminists does it take to screw in a lightbulb? DO IT YOURSELF YOU FILTHY MAN!,-1.4219,-5.875,True
"I'm a recovering alcoholic... And by that, I mean I'm hungover.","My sex change from male to female went really well. It was so successful, I'm still trying to reverse out of the fucking hospital car park!",-1.4219,-3.3594,True
"I'm a recovering alcoholic... And by that, I mean I'm hungover.",What did the Muslim bring to the Holiday party? Falafel and hummus.,-1.4219,-5.0,True
"I'm a recovering alcoholic... And by that, I mean I'm hungover.",What do they call pita bread in Mexico? Pita pan,-1.4219,-4.1875,True
"I'm a recovering alcoholic... And by that, I mean I'm hungover.",How sad to hear about mem fox . She is my boys favorite author. I guess possum magic is too extremist? Or 10 fingers and toes too diverse?,-1.4219,-4.7188,True
"I'm a recovering alcoholic... And by that, I mean I'm hungover.",What do a coffee shop and a Japanese castle siege have in common? Baristas,-1.4219,2.9688,False
"I'm a recovering alcoholic... And by that, I mean I'm hungover.",me: i was attacked by ninjas- doctor: says here you kicked a target cement sphere to see if it would bounce,-1.4219,2.8594,False
"I'm a recovering alcoholic... And by that, I mean I'm hungover.",*In job interview* And what would you say is your best quality. *I silently stand and start moving chairs to make room to do the splits*,-1.4219,-7.1562,True
"I'm a recovering alcoholic... And by that, I mean I'm hungover.",How many Jews does it take to change a lightbulb? None. They can shower in the dark.,-1.4219,-5.75,True
"I'm a recovering alcoholic... And by that, I mean I'm hungover.","Your first instinct is gonna to be to spell ""leopard"" and ""deaf"" correctly. You're going to want to resist that.  Best band manager ever.",-1.3594,-3.2344,True
"I'm a recovering alcoholic... And by that, I mean I'm hungover.",I owned a wife beater once. I can't believe I let someone else have all the fun! haha,-1.3594,-2.2188,True
"I'm a recovering alcoholic... And by that, I mean I'm hungover.",Why was the white biologist considered racist? Because he wanted to preserve his culture h,-1.3594,1.1641,False
"I'm a recovering alcoholic... And by that, I mean I'm hungover.","What do you call a Mexican midget? A paragraph, cause they're to short to be an essay!!!",-1.3594,-1.9844,True
"I'm a recovering alcoholic... And by that, I mean I'm hungover.",wanna crazy your crazy? try killing a fly while carrying on a serious conversation.,-1.3594,-2.2812,True
"I'm a recovering alcoholic... And by that, I mean I'm hungover.",What do you call a group of homosexual musicians from India who never get to play out? A Gay Raj band,-1.3594,1.7734,False
"I'm a recovering alcoholic... And by that, I mean I'm hungover.","Two teenagers knocked on my door and then ran away, so I chased them down the street and down a dark alley where they beat me up and stole my wallet.",-1.3594,-1.6953,True
"I'm a recovering alcoholic... And by that, I mean I'm hungover.","When I get heavier, I am actually easier to pick up. What am I? A woman",-1.3594,2.7969,False
"I'm a recovering alcoholic... And by that, I mean I'm hungover.","Old people, when you say ""the good ol' days,"" do you mean during the draft, or when black people had separate bathrooms?",-1.3594,-0.5312,False
"I'm a recovering alcoholic... And by that, I mean I'm hungover.","A cobweb is just a spiderweb that has bacon, hard-boiled egg, and cheese in it.",-1.3594,-3.7031,True
"I'm a recovering alcoholic... And by that, I mean I'm hungover.",WIFE: Hey why are all our potatoes dressed in tiny outfits and arranged in a little scene? ME: [hiding Photato Album] Why? Do you like it?,-1.3594,-6.125,True
"I'm a recovering alcoholic... And by that, I mean I'm hungover.","Although, I've noticed a lot of Jews taking offence to 'Wu Ping Cough' on behalf of the Chinese... Ok then, Holocough it is.",-1.3594,-2.1562,True
"I'm a recovering alcoholic... And by that, I mean I'm hungover.","I asked a Chinese girl for her number and she said... Sex! Sex! Sex! Free sex tonigh! I thought it was a guaranteed fuck until her friend said, ""She means 666-3629.""",-1.3594,-2.0469,True
"I'm a recovering alcoholic... And by that, I mean I'm hungover.",What happened after the ugly man married the beautiful blonde? They had a wedding reception.,-1.3594,-2.0938,True
I told my wife that a husband ages like wine. We get better with age. Then she locked me in the cellar.,How did 1940's German Men pick up Jewish Girls With a broom and a dustpan,-4.3125,-2.1719,False
I told my wife that a husband ages like wine. We get better with age. Then she locked me in the cellar.,"""Y dnt u Muslims tell ISIS to stop"" Ok hold up *pulls out iphone* ""Yo ISIS habibi,its me plz stop"" ISIS:""ok habibi sorry,shisha tonight?""",-4.3125,-2.0781,False
I told my wife that a husband ages like wine. We get better with age. Then she locked me in the cellar.,What's black and white and red all over and can't get through a revolving door? A nun with a spear through her head.,-4.3125,-2.9844,False
I told my wife that a husband ages like wine. We get better with age. Then she locked me in the cellar.,I busted my nose earlier today... I suppose women can call the aftermath a hot mess.,-4.3125,-3.1875,False
I told my wife that a husband ages like wine. We get better with age. Then she locked me in the cellar.,A black man is speeding down the motorway and he dies. How? He sticks his head out of the window and his lips beat him to death.,-4.3125,-3.3438,False
I told my wife that a husband ages like wine. We get better with age. Then she locked me in the cellar.,"My girlfriend told me that if I ever cheated on her, it would be worse if it was with a black girl. I told her she was wrong. It'd only be three-fifths as bad.",-4.3125,-1.6016,False
I told my wife that a husband ages like wine. We get better with age. Then she locked me in the cellar.,What do you call a Mexican dessert that won't sink? Flanboyant,-4.3125,-2.6562,False
I told my wife that a husband ages like wine. We get better with age. Then she locked me in the cellar.,Just watched the trailer to Onward ... it's a father- son story?! I'm not ready. Need to find a way to watch it but not in front of Vanessa cause I'm def gonna be crying. Maybe I should fake an allergy,-4.3125,2.5625,False
I told my wife that a husband ages like wine. We get better with age. Then she locked me in the cellar.,"Before going to the hairdressers my wife asked me ""What cut do you think would make me more attractive"" ""A fucking power cut"".... was apparently was the wrong answer!",-4.3125,-2.9062,False
I told my wife that a husband ages like wine. We get better with age. Then she locked me in the cellar.,"My sex change from male to female went really well. It was so successful, I'm still trying to reverse out of the fucking hospital car park!",-4.3125,-3.3594,False
I told my wife that a husband ages like wine. We get better with age. Then she locked me in the cellar.,What did the Muslim bring to the Holiday party? Falafel and hummus.,-4.3125,-5.0,True
I told my wife that a husband ages like wine. We get better with age. Then she locked me in the cellar.,What do they call pita bread in Mexico? Pita pan,-4.3125,-4.1875,False
I told my wife that a husband ages like wine. We get better with age. Then she locked me in the cellar.,How sad to hear about mem fox . She is my boys favorite author. I guess possum magic is too extremist? Or 10 fingers and toes too diverse?,-4.3125,-4.7188,True
I told my wife that a husband ages like wine. We get better with age. Then she locked me in the cellar.,What do a coffee shop and a Japanese castle siege have in common? Baristas,-4.3125,2.9688,False
I told my wife that a husband ages like wine. We get better with age. Then she locked me in the cellar.,me: i was attacked by ninjas- doctor: says here you kicked a target cement sphere to see if it would bounce,-4.3125,2.8594,False
I told my wife that a husband ages like wine. We get better with age. Then she locked me in the cellar.,*In job interview* And what would you say is your best quality. *I silently stand and start moving chairs to make room to do the splits*,-4.3125,-7.1562,True
I told my wife that a husband ages like wine. We get better with age. Then she locked me in the cellar.,How many Jews does it take to change a lightbulb? None. They can shower in the dark.,-4.3125,-5.75,True
I told my wife that a husband ages like wine. We get better with age. Then she locked me in the cellar.,"Your first instinct is gonna to be to spell ""leopard"" and ""deaf"" correctly. You're going to want to resist that.  Best band manager ever.",-4.3125,-3.2344,False
"My wife is doing a sponsored parachute jump tomorrow and I am genuinely terrified that the chute won't open. The last time something that big hit the earth, the fucking dinosaurs got wiped out.",I told my wife that a husband ages like wine. We get better with age. Then she locked me in the cellar.,-4.125,-4.4062,True
I told my wife that a husband ages like wine. We get better with age. Then she locked me in the cellar.,"What do you call a Mexican midget? A paragraph, cause they're to short to be an essay!!!",-4.4375,-1.9375,False
I told my wife that a husband ages like wine. We get better with age. Then she locked me in the cellar.,wanna crazy your crazy? try killing a fly while carrying on a serious conversation.,-4.4375,-2.2812,False
I told my wife that a husband ages like wine. We get better with age. Then she locked me in the cellar.,"When I get heavier, I am actually easier to pick up. What am I? A woman",-4.4375,2.8125,False
I told my wife that a husband ages like wine. We get better with age. Then she locked me in the cellar.,"A cobweb is just a spiderweb that has bacon, hard-boiled egg, and cheese in it.",-4.4375,-3.6875,False
I told my wife that a husband ages like wine. We get better with age. Then she locked me in the cellar.,WIFE: Hey why are all our potatoes dressed in tiny outfits and arranged in a little scene? ME: [hiding Photato Album] Why? Do you like it?,-4.4375,-6.125,True
I told my wife that a husband ages like wine. We get better with age. Then she locked me in the cellar.,"Although, I've noticed a lot of Jews taking offence to 'Wu Ping Cough' on behalf of the Chinese... Ok then, Holocough it is.",-4.4375,-2.2344,False
I told my wife that a husband ages like wine. We get better with age. Then she locked me in the cellar.,"I asked a Chinese girl for her number and she said... Sex! Sex! Sex! Free sex tonigh! I thought it was a guaranteed fuck until her friend said, ""She means 666-3629.""",-4.4375,-2.125,False
I told my wife that a husband ages like wine. We get better with age. Then she locked me in the cellar.,What happened after the ugly man married the beautiful blonde? They had a wedding reception.,-4.4375,-2.0156,False
Which country has the fastest growing capitol? Ireland. It's Dublin every year,How did 1940's German Men pick up Jewish Girls With a broom and a dustpan,1.1719,-2.0625,True
Which country has the fastest growing capitol? Ireland. It's Dublin every year,"""Y dnt u Muslims tell ISIS to stop"" Ok hold up *pulls out iphone* ""Yo ISIS habibi,its me plz stop"" ISIS:""ok habibi sorry,shisha tonight?""",1.1719,-2.0469,True
Which country has the fastest growing capitol? Ireland. It's Dublin every year,What's black and white and red all over and can't get through a revolving door? A nun with a spear through her head.,1.1719,-2.9844,True
Which country has the fastest growing capitol? Ireland. It's Dublin every year,I busted my nose earlier today... I suppose women can call the aftermath a hot mess.,1.1719,-3.1875,True
Which country has the fastest growing capitol? Ireland. It's Dublin every year,A black man is speeding down the motorway and he dies. How? He sticks his head out of the window and his lips beat him to death.,1.1719,-3.3438,True
Which country has the fastest growing capitol? Ireland. It's Dublin every year,Just watched the trailer to Onward ... it's a father- son story?! I'm not ready. Need to find a way to watch it but not in front of Vanessa cause I'm def gonna be crying. Maybe I should fake an allergy,1.1719,2.5625,False
Which country has the fastest growing capitol? Ireland. It's Dublin every year,"Before going to the hairdressers my wife asked me ""What cut do you think would make me more attractive"" ""A fucking power cut"".... was apparently was the wrong answer!",1.1719,-2.9062,True
Which country has the fastest growing capitol? Ireland. It's Dublin every year,What did the Muslim bring to the Holiday party? Falafel and hummus.,1.0859,-5.0625,True
Which country has the fastest growing capitol? Ireland. It's Dublin every year,How sad to hear about mem fox . She is my boys favorite author. I guess possum magic is too extremist? Or 10 fingers and toes too diverse?,1.0859,-4.75,True
Which country has the fastest growing capitol? Ireland. It's Dublin every year,What do a coffee shop and a Japanese castle siege have in common? Baristas,1.0859,2.9531,False
